Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100    17.7144     0.2235     7.0000    14.0000    24.0000   165.0000
 1.900 0.100    18.5766     0.2426     7.0000    14.0000    25.0000   192.0000
 1.800 0.100    19.8206     0.2592     7.0000    15.0000    26.0000   208.0000
 1.700 0.100    20.6070     0.2658     7.0000    16.0000    27.0000   172.0000
 1.600 0.100    22.4776     0.2930     8.0000    17.0000    30.0000   227.0000
 1.500 0.100    23.2152     0.2958     9.0000    17.0000    31.0000   220.0000
 1.400 0.100    25.7800     0.3349     9.0000    19.0000    35.0000   232.0000
 1.300 0.100    28.6896     0.3914    10.0000    20.0000    38.0000   308.0000
 1.200 0.100    31.0110     0.4123    11.0000    23.0000    42.0000   317.0000
 1.100 0.100    34.9000     0.4899    12.0000    25.0000    46.0000   405.0000
 1.000 0.100    38.5072     0.5136    13.0000    28.0000    52.0000   307.0000
 0.900 0.100    44.8082     0.6153    15.0000    31.0000    61.0000   439.0000
 0.800 0.100    50.0060     0.6963    16.0000    36.0000    67.0000   638.0000
 0.700 0.100    59.7006     0.8260    20.0000    41.0000    81.0000   587.0000
 0.600 0.100    71.6320     0.9781    24.0000    51.0000    98.0000   648.0000
 0.500 0.100    84.8386     1.1746    27.0000    59.0000   115.0000   969.0000
 0.400 0.100   110.3906     1.5239    33.0000    77.0000   151.0000   955.0000
 0.300 0.100   141.9408     2.0143    43.0000    98.0000   194.0000  1213.0000
 0.200 0.100   175.9614     2.4994    52.0000   121.0000   241.0000  1677.0000
 0.100 0.100   192.3808     2.7209    54.0000   134.0000   273.0000  2000.0000
