Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.080    23.8396     0.3032     9.0000    18.0000    33.0000   258.0000
 1.900 0.080    25.4236     0.3291     9.0000    19.0000    35.0000   244.0000
 1.800 0.080    26.7580     0.3503    10.0000    20.0000    36.0000   275.0000
 1.700 0.080    27.7242     0.3644    10.0000    21.0000    38.0000   258.0000
 1.600 0.080    30.2584     0.4074    10.0000    22.0000    41.0000   286.0000
 1.500 0.080    33.3826     0.4534    11.0000    24.0000    44.0000   299.0000
 1.400 0.080    35.8790     0.4904    12.0000    26.0000    48.0000   359.0000
 1.300 0.080    39.2294     0.5326    13.0000    28.0000    53.0000   296.0000
 1.200 0.080    42.7704     0.5943    14.0000    30.0000    57.0000   393.0000
 1.100 0.080    47.2888     0.6621    15.0000    33.0000    64.0000   441.0000
 1.000 0.080    52.4562     0.7161    17.0000    37.0000    73.0000   465.0000
 0.900 0.080    60.8484     0.8496    19.0000    42.0000    82.0000   513.0000
 0.800 0.080    67.9656     0.9367    21.0000    48.0000    93.0000   527.0000
 0.700 0.080    80.4622     1.1068    25.0000    57.0000   111.0000   759.0000
 0.600 0.080    92.7612     1.3066    29.0000    64.0000   125.0000   897.0000
 0.500 0.080   106.9634     1.5069    32.0000    74.0000   146.0000  1059.0000
 0.400 0.080   133.6868     1.8829    40.0000    93.0000   183.0000  1095.0000
 0.300 0.080   157.9758     2.2188    45.0000   109.0000   218.0000  1244.0000
 0.200 0.080   181.8274     2.5715    52.0000   127.0000   251.0000  1833.0000
 0.100 0.080   191.0504     2.7346    54.0000   131.0000   262.0000  1852.0000
