Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    50.1070     0.6579    16.0000    38.0000    68.0000   497.0000
 1.900 0.050    52.1054     0.6879    17.0000    39.0000    71.0000   412.0000
 1.800 0.050    53.4704     0.7196    17.0000    39.0000    74.0000   501.0000
 1.700 0.050    58.4500     0.7819    19.0000    42.0000    81.0000   588.0000
 1.600 0.050    61.3580     0.8160    19.0000    46.0000    84.0000   558.0000
 1.500 0.050    66.1916     0.9131    20.0000    47.0000    90.0000   593.0000
 1.400 0.050    71.4374     0.9948    22.0000    50.0000    97.0000   765.0000
 1.300 0.050    76.8090     1.0328    24.0000    54.0000   106.0000   545.0000
 1.200 0.050    81.7218     1.1313    26.0000    58.0000   111.0000   752.0000
 1.100 0.050    86.7094     1.1713    27.0000    62.0000   121.0000   778.0000
 1.000 0.050    92.0222     1.2978    27.0000    64.0000   127.0000   895.0000
 0.900 0.050   103.6708     1.4864    30.0000    71.0000   143.0000   969.0000
 0.800 0.050   112.8378     1.5857    33.0000    78.0000   158.0000  1144.0000
 0.700 0.050   125.1862     1.7297    36.0000    87.0000   176.0000  1222.0000
 0.600 0.050   138.5366     1.9823    40.0000    94.0000   189.0000  1084.0000
 0.500 0.050   150.5032     2.1630    44.0000   104.0000   207.0000  1433.0000
 0.400 0.050   167.2752     2.3590    46.0000   115.0000   236.0000  1428.0000
 0.300 0.050   185.7900     2.6755    53.0000   125.0000   261.0000  2000.0000
 0.200 0.050   189.0922     2.7180    54.0000   131.0000   259.0000  1891.0000
 0.100 0.050   202.9446     2.9780    55.0000   138.0000   279.0000  1872.0000
