Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.6674     0.0493     3.0000     5.0000     7.0000    52.0000
 1.900 0.200     5.8530     0.0496     4.0000     5.0000     7.0000    40.0000
 1.800 0.200     6.4854     0.0562     4.0000     6.0000     8.0000    48.0000
 1.700 0.200     7.0312     0.0602     4.0000     6.0000     9.0000    55.0000
 1.600 0.200     7.6070     0.0641     5.0000     7.0000    10.0000    45.0000
 1.500 0.200     8.5340     0.0758     5.0000     8.0000    11.0000    83.0000
 1.400 0.200     9.3722     0.0830     5.0000     8.0000    12.0000    49.0000
 1.300 0.200    10.5470     0.0922     6.0000     9.0000    13.0000    67.0000
 1.200 0.200    12.0438     0.1092     7.0000    11.0000    15.0000    88.0000
 1.100 0.200    13.7562     0.1269     8.0000    12.0000    18.0000    94.0000
 1.000 0.200    16.2704     0.1539     9.0000    14.0000    21.0000   125.0000
 0.900 0.200    19.7908     0.1894    10.0000    17.0000    26.0000   136.0000
 0.800 0.200    24.8246     0.2529    12.0000    21.0000    33.0000   159.0000
 0.700 0.200    31.9522     0.3462    15.0000    26.0000    42.0000   209.0000
 0.600 0.200    44.8398     0.5329    19.0000    35.0000    59.0000   351.0000
 0.500 0.200    65.1360     0.8186    25.0000    49.0000    88.0000   566.0000
 0.400 0.200    98.8124     1.3392    33.0000    71.0000   134.0000   775.0000
 0.300 0.200   139.0030     1.9046    42.0000   100.0000   191.0000  1040.0000
 0.200 0.200   173.9026     2.4449    52.0000   120.0000   241.0000  1441.0000
 0.100 0.200   199.0232     2.7708    58.0000   137.0000   281.0000  1622.0000
