Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    68.8708     0.9052    22.0000    52.0000    96.0000   940.0000
 1.900 0.050    70.6262     0.9538    22.0000    52.0000    98.0000   695.0000
 1.800 0.050    74.4222     1.0042    23.0000    55.0000   104.0000   700.0000
 1.700 0.050    77.3042     1.0564    23.0000    56.0000   108.0000   677.0000
 1.600 0.050    78.9712     1.0925    24.0000    57.0000   110.0000   856.0000
 1.500 0.050    83.4168     1.1362    25.0000    60.0000   116.0000   803.0000
 1.400 0.050    88.5468     1.2437    26.0000    63.0000   123.0000   880.0000
 1.300 0.050    90.9038     1.2603    27.0000    64.0000   124.0000   802.0000
 1.200 0.050    96.4218     1.3486    30.0000    68.0000   133.0000   913.0000
 1.100 0.050   101.0748     1.3817    31.0000    74.0000   142.0000   999.0000
 1.000 0.050   108.3150     1.4900    32.0000    76.0000   149.0000   836.0000
 0.900 0.050   115.0502     1.6000    33.0000    81.0000   159.0000  1131.0000
 0.800 0.050   124.6618     1.7241    36.0000    88.0000   173.0000  1069.0000
 0.700 0.050   131.8964     1.8807    38.0000    92.0000   181.0000  1229.0000
 0.600 0.050   135.3762     1.8487    41.0000    95.0000   190.0000  1199.0000
 0.500 0.050   151.0948     2.1360    44.0000   105.0000   208.0000  1280.0000
 0.400 0.050   162.5540     2.3090    48.0000   113.0000   221.0000  1501.0000
 0.300 0.050   181.0012     2.5054    53.0000   126.0000   254.0000  1493.0000
 0.200 0.050   191.4800     2.7229    54.0000   134.0000   268.0000  2000.0000
 0.100 0.050   197.5564     2.8320    56.0000   136.0000   272.0000  1722.0000
