Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.150     7.2030     0.0683     4.0000     6.0000     9.0000    58.0000
 1.900 0.150     7.7228     0.0752     4.0000     7.0000    10.0000    84.0000
 1.800 0.150     8.4196     0.0808     4.0000     7.0000    11.0000    85.0000
 1.700 0.150     9.0152     0.0904     5.0000     8.0000    12.0000    72.0000
 1.600 0.150     9.7118     0.0927     5.0000     8.0000    13.0000    56.0000
 1.500 0.150    10.7434     0.1113     5.0000     9.0000    14.0000   105.0000
 1.400 0.150    11.6966     0.1171     6.0000    10.0000    15.0000    85.0000
 1.300 0.150    13.0506     0.1329     7.0000    11.0000    17.0000   105.0000
 1.200 0.150    14.7082     0.1486     7.0000    12.0000    19.0000   105.0000
 1.100 0.150    17.2644     0.1839     8.0000    14.0000    22.0000   139.0000
 1.000 0.150    19.9392     0.2203     9.0000    16.0000    26.0000   160.0000
 0.900 0.150    24.2642     0.2709    11.0000    20.0000    31.0000   173.0000
 0.800 0.150    29.7962     0.3454    13.0000    23.0000    39.0000   254.0000
 0.700 0.150    38.4196     0.4619    16.0000    30.0000    51.0000   361.0000
 0.600 0.150    52.1326     0.6521    20.0000    39.0000    69.0000   435.0000
 0.500 0.150    73.6648     0.9661    26.0000    53.0000    99.0000   698.0000
 0.400 0.150   106.1684     1.4816    33.0000    74.0000   144.0000  1330.0000
 0.300 0.150   146.6262     2.0861    43.0000   102.0000   199.0000  1299.0000
 0.200 0.150   179.4358     2.5581    50.0000   122.0000   252.0000  1670.0000
 0.100 0.150   197.7686     2.7490    59.0000   139.0000   275.0000  1651.0000
