Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.8202     0.0690     3.0000     5.0000     7.0000    89.0000
 1.900 0.200     6.1410     0.0654     3.0000     5.0000     8.0000    59.0000
 1.800 0.200     6.4166     0.0722     3.0000     5.0000     8.0000    59.0000
 1.700 0.200     6.7524     0.0710     4.0000     5.0000     9.0000    58.0000
 1.600 0.200     7.1340     0.0759     4.0000     6.0000     9.0000    66.0000
 1.500 0.200     7.7998     0.0863     4.0000     6.0000    10.0000    87.0000
 1.400 0.200     8.3798     0.0907     4.0000     7.0000    11.0000    92.0000
 1.300 0.200     9.0878     0.0964     5.0000     7.0000    12.0000    83.0000
 1.200 0.200     9.9662     0.1087     5.0000     8.0000    13.0000   102.0000
 1.100 0.200    11.3048     0.1251     6.0000     9.0000    14.0000   141.0000
 1.000 0.200    13.2322     0.1526     6.0000    10.0000    17.0000   112.0000
 0.900 0.200    15.1372     0.1712     7.0000    12.0000    20.0000   185.0000
 0.800 0.200    18.0426     0.2103     8.0000    14.0000    23.0000   148.0000
 0.700 0.200    22.7314     0.2583    10.0000    18.0000    30.0000   179.0000
 0.600 0.200    28.2954     0.3253    12.0000    22.0000    37.0000   179.0000
 0.500 0.200    39.3870     0.4906    16.0000    30.0000    52.0000   397.0000
 0.400 0.200    59.9178     0.7760    22.0000    44.0000    80.0000   521.0000
 0.300 0.200    98.3642     1.3778    32.0000    71.0000   132.0000  1028.0000
 0.200 0.200   150.6564     2.0702    46.0000   106.0000   208.0000  1439.0000
 0.100 0.200   191.0162     2.6599    57.0000   135.0000   264.0000  1456.0000
