Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.150     5.3490     0.0407     3.0000     5.0000     7.0000    25.0000
 1.900 0.150     5.6548     0.0443     3.0000     5.0000     7.0000    36.0000
 1.800 0.150     6.0218     0.0465     4.0000     6.0000     8.0000    42.0000
 1.700 0.150     6.5808     0.0517     4.0000     6.0000     8.0000    49.0000
 1.600 0.150     7.1114     0.0559     4.0000     6.0000     9.0000    66.0000
 1.500 0.150     7.9492     0.0646     5.0000     7.0000    10.0000    38.0000
 1.400 0.150     8.8284     0.0735     5.0000     8.0000    11.0000    73.0000
 1.300 0.150     9.8132     0.0814     6.0000     9.0000    12.0000    53.0000
 1.200 0.150    11.2606     0.0956     7.0000    10.0000    14.0000    86.0000
 1.100 0.150    12.7400     0.1110     7.0000    11.0000    16.0000    87.0000
 1.000 0.150    15.1670     0.1368     8.0000    13.0000    19.0000   108.0000
 0.900 0.150    18.4492     0.1666    10.0000    16.0000    24.0000   131.0000
 0.800 0.150    23.0584     0.2261    12.0000    20.0000    30.0000   213.0000
 0.700 0.150    29.5400     0.3192    14.0000    24.0000    39.0000   217.0000
 0.600 0.150    41.1712     0.4811    18.0000    32.0000    55.0000   353.0000
 0.500 0.150    63.0224     0.8024    25.0000    47.0000    84.0000   644.0000
 0.400 0.150    96.4032     1.3096    31.0000    68.0000   130.0000   870.0000
 0.300 0.150   139.3596     1.9591    42.0000    97.0000   190.0000  1122.0000
 0.200 0.150   176.1070     2.4823    50.0000   121.0000   245.0000  1452.0000
 0.100 0.150   192.0962     2.7481    53.0000   130.0000   270.0000  1666.0000
