Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100     9.3104     0.0787     5.0000     8.0000    12.0000    53.0000
 1.900 0.100    10.2192     0.0886     6.0000     9.0000    13.0000    56.0000
 1.800 0.100    11.3242     0.0997     6.0000    10.0000    15.0000    65.0000
 1.700 0.100    12.2978     0.1065     7.0000    11.0000    16.0000    70.0000
 1.600 0.100    13.8002     0.1242     8.0000    12.0000    18.0000   107.0000
 1.500 0.100    15.7528     0.1432     9.0000    14.0000    20.0000   117.0000
 1.400 0.100    17.7846     0.1661    10.0000    15.0000    23.0000   118.0000
 1.300 0.100    20.2610     0.1949    11.0000    18.0000    27.0000   150.0000
 1.200 0.100    24.2714     0.2420    12.0000    21.0000    32.0000   161.0000
 1.100 0.100    28.8818     0.3035    14.0000    24.0000    39.0000   331.0000
 1.000 0.100    36.2182     0.4040    16.0000    29.0000    47.0000   306.0000
 0.900 0.100    46.6442     0.5352    20.0000    37.0000    62.0000   303.0000
 0.800 0.100    62.4182     0.7863    24.0000    47.0000    84.0000   471.0000
 0.700 0.100    81.9230     1.0445    30.0000    61.0000   111.0000   664.0000
 0.600 0.100   111.0394     1.4927    36.0000    79.0000   153.0000   934.0000
 0.500 0.100   140.8296     2.0307    41.0000    96.0000   194.0000  1408.0000
 0.400 0.100   162.8586     2.2407    49.0000   114.0000   227.0000  1227.0000
 0.300 0.100   178.1054     2.5391    52.0000   124.0000   246.0000  2000.0000
 0.200 0.100   187.6072     2.6863    52.0000   129.0000   259.0000  1752.0000
 0.100 0.100   197.7394     2.8240    56.0000   136.0000   273.0000  1633.0000
