Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.150     5.9384     0.0452     4.0000     5.0000     8.0000    27.0000
 1.900 0.150     6.5068     0.0501     4.0000     6.0000     8.0000    33.0000
 1.800 0.150     7.1324     0.0566     4.0000     7.0000     9.0000    40.0000
 1.700 0.150     7.7622     0.0627     5.0000     7.0000    10.0000    41.0000
 1.600 0.150     8.6474     0.0705     5.0000     8.0000    11.0000    45.0000
 1.500 0.150     9.6386     0.0812     6.0000     9.0000    12.0000   100.0000
 1.400 0.150    10.9952     0.0907     7.0000    10.0000    14.0000    85.0000
 1.300 0.150    12.4980     0.1082     7.0000    11.0000    16.0000    73.0000
 1.200 0.150    14.7530     0.1289     8.0000    13.0000    19.0000   110.0000
 1.100 0.150    17.2468     0.1552    10.0000    15.0000    23.0000    94.0000
 1.000 0.150    21.2900     0.2089    11.0000    18.0000    28.0000   202.0000
 0.900 0.150    26.8246     0.2773    13.0000    22.0000    35.0000   191.0000
 0.800 0.150    35.7006     0.3959    16.0000    29.0000    48.0000   312.0000
 0.700 0.150    47.8312     0.5651    20.0000    37.0000    64.0000   331.0000
 0.600 0.150    66.0672     0.8442    24.0000    49.0000    90.0000   633.0000
 0.500 0.150    97.0424     1.3317    32.0000    69.0000   131.0000   880.0000
 0.400 0.150   128.8188     1.7611    39.0000    91.0000   180.0000  1182.0000
 0.300 0.150   159.2456     2.2263    45.0000   110.0000   224.0000  1421.0000
 0.200 0.150   178.0716     2.5394    50.0000   121.0000   252.0000  1559.0000
 0.100 0.150   195.6556     2.7605    59.0000   137.0000   272.0000  1625.0000
