Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.080    12.2606     0.1157     6.0000    11.0000    16.0000    70.0000
 1.900 0.080    13.2872     0.1263     7.0000    12.0000    17.0000   100.0000
 1.800 0.080    14.5842     0.1433     8.0000    13.0000    19.0000   112.0000
 1.700 0.080    16.4508     0.1636     8.0000    14.0000    22.0000   111.0000
 1.600 0.080    18.1784     0.1854     9.0000    15.0000    24.0000   136.0000
 1.500 0.080    20.3540     0.2130    10.0000    17.0000    27.0000   181.0000
 1.400 0.080    23.9256     0.2549    11.0000    20.0000    31.0000   232.0000
 1.300 0.080    27.4398     0.3051    13.0000    22.0000    36.0000   278.0000
 1.200 0.080    32.7418     0.3678    14.0000    26.0000    44.0000   237.0000
 1.100 0.080    39.7326     0.4614    17.0000    31.0000    53.0000   277.0000
 1.000 0.080    48.8208     0.5790    20.0000    38.0000    66.0000   352.0000
 0.900 0.080    60.8646     0.7383    24.0000    47.0000    83.0000   468.0000
 0.800 0.080    77.5560     1.0211    27.0000    56.0000   105.0000   685.0000
 0.700 0.080   103.1872     1.3871    34.0000    74.0000   141.0000   900.0000
 0.600 0.080   133.1260     1.8210    42.0000    93.0000   186.0000  1305.0000
 0.500 0.080   154.0428     2.1570    44.0000   107.0000   213.0000  1311.0000
 0.400 0.080   176.7026     2.4540    50.0000   125.0000   245.0000  1398.0000
 0.300 0.080   193.5828     2.6911    54.0000   133.0000   272.0000  1599.0000
 0.200 0.080   198.1514     2.7847    57.0000   137.0000   277.0000  1814.0000
 0.100 0.080   200.4026     2.8578    57.0000   141.0000   276.0000  1830.0000
