Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    25.9470     0.3313     9.0000    19.0000    35.0000   225.0000
 1.900 0.050    26.7650     0.3424    10.0000    20.0000    36.0000   220.0000
 1.800 0.050    28.9976     0.3788    10.0000    21.0000    39.0000   336.0000
 1.700 0.050    31.9070     0.4189    11.0000    23.0000    44.0000   255.0000
 1.600 0.050    35.1900     0.4647    12.0000    25.0000    48.0000   256.0000
 1.500 0.050    38.9540     0.5232    13.0000    27.0000    53.0000   320.0000
 1.400 0.050    41.5512     0.5574    14.0000    30.0000    57.0000   355.0000
 1.300 0.050    46.6688     0.6267    16.0000    33.0000    63.0000   366.0000
 1.200 0.050    51.9256     0.7375    16.0000    36.0000    70.0000   541.0000
 1.100 0.050    58.0318     0.7797    19.0000    41.0000    79.0000   390.0000
 1.000 0.050    69.3720     0.9396    22.0000    50.0000    96.0000   528.0000
 0.900 0.050    73.7042     1.0163    23.0000    51.0000   101.0000   757.0000
 0.800 0.050    86.0876     1.1978    27.0000    60.0000   118.0000   867.0000
 0.700 0.050   100.7416     1.4326    30.0000    71.0000   134.0000  1016.0000
 0.600 0.050   116.0904     1.5863    34.0000    81.0000   163.0000   837.0000
 0.500 0.050   134.3384     1.8352    41.0000    96.0000   183.0000   931.0000
 0.400 0.050   162.3452     2.3116    48.0000   112.0000   220.0000  1592.0000
 0.300 0.050   182.2226     2.5711    54.0000   127.0000   253.0000  1549.0000
 0.200 0.050   193.0422     2.7205    56.0000   136.0000   266.0000  1704.0000
 0.100 0.050   201.9884     2.9064    59.0000   136.0000   280.0000  2000.0000
