Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.080    11.1010     0.1227     5.0000     9.0000    15.0000    96.0000
 1.900 0.080    11.8588     0.1313     5.0000    10.0000    16.0000    88.0000
 1.800 0.080    12.9762     0.1522     6.0000    10.0000    17.0000   150.0000
 1.700 0.080    13.4750     0.1550     6.0000    11.0000    18.0000   101.0000
 1.600 0.080    14.6692     0.1729     6.0000    11.0000    19.0000   148.0000
 1.500 0.080    16.2656     0.1925     7.0000    13.0000    21.0000   205.0000
 1.400 0.080    17.8198     0.2120     8.0000    14.0000    24.0000   158.0000
 1.300 0.080    19.6162     0.2378     8.0000    15.0000    25.0000   148.0000
 1.200 0.080    22.7960     0.2812     9.0000    17.0000    31.0000   219.0000
 1.100 0.080    25.3430     0.3084    10.0000    19.0000    34.0000   219.0000
 1.000 0.080    29.1296     0.3770    11.0000    22.0000    39.0000   327.0000
 0.900 0.080    34.4820     0.4457    13.0000    25.0000    46.0000   404.0000
 0.800 0.080    40.7452     0.5322    15.0000    29.0000    55.0000   365.0000
 0.700 0.080    50.3756     0.6430    18.0000    37.0000    68.0000   404.0000
 0.600 0.080    63.2624     0.8622    21.0000    45.0000    85.0000   582.0000
 0.500 0.080    84.1292     1.1116    28.0000    60.0000   115.0000   557.0000
 0.400 0.080   112.6668     1.5169    37.0000    81.0000   154.0000  1228.0000
 0.300 0.080   147.6452     2.0367    45.0000   102.0000   205.0000  1304.0000
 0.200 0.080   183.5330     2.5821    55.0000   130.0000   254.0000  1974.0000
 0.100 0.080   195.3836     2.7873    55.0000   134.0000   273.0000  2000.0000
