Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100     8.5308     0.0747     5.0000     8.0000    11.0000    61.0000
 1.900 0.100     9.1494     0.0789     5.0000     8.0000    12.0000    50.0000
 1.800 0.100     9.9928     0.0877     6.0000     9.0000    13.0000    55.0000
 1.700 0.100    10.9578     0.0966     6.0000    10.0000    14.0000    73.0000
 1.600 0.100    12.1472     0.1103     7.0000    11.0000    16.0000    71.0000
 1.500 0.100    13.4790     0.1258     7.0000    12.0000    17.0000    91.0000
 1.400 0.100    15.2500     0.1429     8.0000    13.0000    20.0000   114.0000
 1.300 0.100    17.2398     0.1649     9.0000    15.0000    23.0000   106.0000
 1.200 0.100    20.1826     0.1945    10.0000    17.0000    27.0000   122.0000
 1.100 0.100    23.4224     0.2365    12.0000    20.0000    31.0000   142.0000
 1.000 0.100    29.2494     0.3109    14.0000    24.0000    38.0000   221.0000
 0.900 0.100    35.2250     0.3862    16.0000    29.0000    47.0000   233.0000
 0.800 0.100    45.6024     0.5257    19.0000    35.0000    61.0000   325.0000
 0.700 0.100    60.9094     0.7683    24.0000    46.0000    80.0000   561.0000
 0.600 0.100    84.5780     1.1052    30.0000    62.0000   116.0000   712.0000
 0.500 0.100   117.4338     1.5739    37.0000    84.0000   163.0000   965.0000
 0.400 0.100   154.9000     2.1770    46.0000   107.0000   213.0000  1372.0000
 0.300 0.100   175.9420     2.4940    52.0000   121.0000   247.0000  1675.0000
 0.200 0.100   188.0126     2.6651    54.0000   129.0000   264.0000  1788.0000
 0.100 0.100   191.9400     2.7173    54.0000   132.0000   265.0000  1598.0000
