Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.080    11.0512     0.1086     6.0000     9.0000    14.0000    72.0000
 1.900 0.080    11.7924     0.1146     6.0000    10.0000    16.0000    70.0000
 1.800 0.080    12.9158     0.1287     6.0000    11.0000    17.0000   113.0000
 1.700 0.080    14.0548     0.1424     7.0000    12.0000    18.0000   152.0000
 1.600 0.080    15.7018     0.1572     8.0000    13.0000    21.0000    83.0000
 1.500 0.080    17.1454     0.1810     8.0000    14.0000    23.0000   140.0000
 1.400 0.080    19.6420     0.2024     9.0000    17.0000    26.0000   145.0000
 1.300 0.080    22.5608     0.2572    10.0000    18.0000    30.0000   234.0000
 1.200 0.080    26.1544     0.2992    12.0000    20.0000    34.0000   250.0000
 1.100 0.080    30.8834     0.3559    13.0000    24.0000    41.0000   235.0000
 1.000 0.080    37.1988     0.4550    15.0000    29.0000    49.0000   439.0000
 0.900 0.080    45.2958     0.5835    18.0000    34.0000    59.0000   426.0000
 0.800 0.080    57.7488     0.7398    22.0000    42.0000    78.0000   519.0000
 0.700 0.080    75.1112     0.9922    27.0000    54.0000   100.0000   839.0000
 0.600 0.080   101.6364     1.3990    33.0000    70.0000   137.0000   802.0000
 0.500 0.080   127.6084     1.8053    39.0000    89.0000   174.0000  1160.0000
 0.400 0.080   159.0210     2.2257    47.0000   110.0000   218.0000  1285.0000
 0.300 0.080   183.3076     2.6285    54.0000   125.0000   248.0000  1912.0000
 0.200 0.080   193.0342     2.7287    57.0000   135.0000   266.0000  1943.0000
 0.100 0.080   194.7894     2.7477    56.0000   134.0000   276.0000  1861.0000
