Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200   106.0966     2.4426     4.0000     8.0000   150.0000  1559.0000
 1.900 0.200   104.9064     2.5297     4.0000     8.0000   144.0000  2000.0000
 1.800 0.200   105.7884     2.5349     4.0000     8.0000   140.0000  2000.0000
 1.700 0.200   102.6874     2.3721     5.0000     9.0000   143.0000  1351.0000
 1.600 0.200   104.6072     2.4851     5.0000    10.0000   142.0000  1762.0000
 1.500 0.200   107.9004     2.5158     5.0000    11.0000   146.0000  1475.0000
 1.400 0.200   107.2110     2.4906     6.0000    12.0000   146.0000  1717.0000
 1.300 0.200   104.7252     2.3958     6.0000    13.0000   141.0000  1595.0000
 1.200 0.200   105.3322     2.4720     7.0000    13.0000   137.0000  1551.0000
 1.100 0.200   110.4174     2.4986     8.0000    17.0000   149.0000  1525.0000
 1.000 0.200   110.2624     2.4383     9.0000    19.0000   157.0000  1909.0000
 0.900 0.200   111.3708     2.4582    10.0000    22.0000   151.0000  1833.0000
 0.800 0.200   111.1074     2.4362    12.0000    25.0000   147.0000  1507.0000
 0.700 0.200   110.6038     2.3881    13.0000    29.0000   144.0000  1355.0000
 0.600 0.200   115.9454     2.4214    16.0000    36.0000   151.0000  1971.0000
 0.500 0.200   119.1404     2.4218    20.0000    44.0000   145.0000  1563.0000
 0.400 0.200   125.5142     2.4042    25.0000    58.0000   155.0000  1537.0000
 0.300 0.200   137.5870     2.3352    34.0000    78.0000   174.0000  1608.0000
 0.200 0.200   160.8542     2.3614    44.0000   106.0000   221.0000  1348.0000
 0.100 0.200   186.2304     2.7065    52.0000   127.0000   258.0000  2000.0000
