Amp  ARL  Std  Q1  Med  Q3  Max
10.000    31.0674     0.5560    10.0000    19.0000    36.0000   584.0000     0.0000
 9.500    32.7168     0.5495    11.0000    20.0000    39.0000   668.0000     0.0000
 9.000    35.5722     0.5974    11.0000    22.0000    43.0000   452.0000     0.0000
 8.500    38.1348     0.6501    12.0000    24.0000    46.0000   607.0000     0.0000
 8.000    40.8146     0.6560    14.0000    26.0000    51.0000   628.0000     0.0000
 7.500    43.4664     0.6807    14.0000    27.0000    54.0000   647.0000     0.0000
 7.000    49.0706     0.7707    16.0000    31.0000    62.0000   937.0000     0.0000
 6.500    52.7334     0.7726    18.0000    35.0000    68.0000   699.0000     0.0000
 6.000    61.6416     0.9214    21.0000    41.0000    79.0000   709.0000     0.0000
 5.500    66.4934     0.9546    23.0000    46.0000    87.0000   960.0000     0.0000
 5.000    76.3792     1.1036    28.0000    53.0000    98.0000  1073.0000     0.0000
 4.500    89.5578     1.2459    32.0000    64.0000   117.0000  1010.0000     0.0000
 4.000   101.9452     1.3716    37.0000    72.0000   136.0000   938.0000     0.0000
 3.500   124.3112     1.6837    41.0000    90.0000   171.0000  1135.0000     0.0000
 3.000   150.7782     2.0555    48.0000   108.0000   207.0000  1283.0000     0.0000
 2.500   168.5852     2.3471    50.0000   117.0000   236.0000  1375.0000     0.0000
