Amp  ARL  Std  Q1  Med  Q3  Max
10.000    25.8232     0.5033     9.0000    16.0000    28.0000   903.0000     0.0000
 9.500    27.3072     0.4971    10.0000    17.0000    30.0000   570.0000     0.0000
 9.000    29.2172     0.4858    11.0000    19.0000    34.0000   506.0000     0.0000
 8.500    32.2110     0.5212    12.0000    21.0000    38.0000   460.0000     0.0000
 8.000    35.3330     0.5839    13.0000    23.0000    41.0000   575.0000     0.0000
 7.500    38.7676     0.6235    14.0000    26.0000    47.0000   526.0000     0.0000
 7.000    43.2488     0.6645    16.0000    29.0000    51.0000   645.0000     0.0000
 6.500    46.9960     0.7142    17.0000    32.0000    58.0000   845.0000     0.0000
 6.000    55.7692     0.8789    19.0000    37.0000    71.0000   919.0000     0.0000
 5.500    63.4380     0.9243    23.0000    44.0000    81.0000   641.0000     0.0000
 5.000    73.0158     1.0521    26.0000    51.0000    94.0000   866.0000     0.0000
 4.500    86.9092     1.1623    32.0000    62.0000   116.0000   971.0000     0.0000
 4.000   104.8020     1.4721    35.0000    73.0000   143.0000  1531.0000     0.0000
 3.500   130.6638     1.8156    42.0000    91.0000   180.0000  1325.0000     0.0000
 3.000   154.0330     2.1636    45.0000   106.0000   213.0000  1284.0000     0.0000
 2.500   177.7176     2.5540    51.0000   122.0000   243.0000  1683.0000     0.0000
