Amp  ARL  Std  Q1  Med  Q3  Max
10.000    24.8860     0.4178    10.0000    17.0000    28.0000   399.0000     0.0000
 9.500    27.8720     0.4865    11.0000    18.0000    32.0000   626.0000     0.0000
 9.000    29.3038     0.4796    12.0000    20.0000    34.0000   613.0000     0.0000
 8.500    32.0496     0.5069    13.0000    22.0000    37.0000   629.0000     0.0000
 8.000    36.3510     0.5464    14.0000    25.0000    44.0000   363.0000     0.0000
 7.500    39.5638     0.5863    15.0000    27.0000    49.0000   604.0000     0.0000
 7.000    44.5864     0.6749    17.0000    32.0000    54.0000   927.0000     0.0000
 6.500    51.4900     0.7917    19.0000    35.0000    63.0000   733.0000     0.0000
 6.000    57.5814     0.7979    22.0000    41.0000    73.0000   640.0000     0.0000
 5.500    68.6064     0.9759    24.0000    47.0000    89.0000   853.0000     0.0000
 5.000    79.1970     1.1811    27.0000    55.0000   104.0000  1144.0000     0.0000
 4.500    99.4158     1.3732    34.0000    70.0000   130.0000   856.0000     0.0000
 4.000   111.5616     1.5807    36.0000    78.0000   149.0000   946.0000     0.0000
 3.500   135.9214     1.9080    43.0000    94.0000   186.0000  1253.0000     0.0000
 3.000   165.7306     2.2884    50.0000   117.0000   231.0000  1475.0000     0.0000
 2.500   180.5454     2.5386    52.0000   127.0000   251.0000  1601.0000     0.0000
