Amp  ARL  Std  Q1  Med  Q3  Max
10.000    31.1062     0.5357    11.0000    19.0000    36.0000   680.0000     0.0000
 9.500    33.3124     0.5845    11.0000    20.0000    39.0000   735.0000     0.0000
 9.000    34.8772     0.5564    12.0000    22.0000    43.0000   566.0000     0.0000
 8.500    37.5244     0.5906    13.0000    24.0000    46.0000   426.0000     0.0000
 8.000    41.8672     0.6861    14.0000    27.0000    51.0000   739.0000     0.0000
 7.500    45.2544     0.6894    16.0000    30.0000    56.0000   574.0000     0.0000
 7.000    50.1204     0.7668    18.0000    33.0000    62.0000   596.0000     0.0000
 6.500    54.3010     0.7938    20.0000    37.0000    68.0000   926.0000     0.0000
 6.000    61.8962     0.8994    23.0000    43.0000    81.0000   874.0000     0.0000
 5.500    70.5982     0.9891    26.0000    50.0000    92.0000  1025.0000     0.0000
 5.000    81.7468     1.1064    30.0000    58.0000   107.0000   846.0000     0.0000
 4.500    95.3312     1.3128    33.0000    68.0000   125.0000   801.0000     0.0000
 4.000   116.4872     1.5765    39.0000    83.0000   156.0000   951.0000     0.0000
 3.500   140.9098     1.9387    47.0000    99.0000   193.0000  1467.0000     0.0000
 3.000   162.3060     2.2360    49.0000   115.0000   223.0000  1629.0000     0.0000
 2.500   185.6366     2.6480    53.0000   129.0000   254.0000  1822.0000     0.0000
