Amp  ARL  Std  Q1  Med  Q3  Max
10.000    24.3132     0.4045     9.0000    16.0000    28.0000   484.0000     0.0000
 9.500    26.9454     0.4447    10.0000    18.0000    31.0000   473.0000     0.0000
 9.000    28.7576     0.4883    11.0000    19.0000    33.0000   495.0000     0.0000
 8.500    31.6322     0.5030    12.0000    21.0000    38.0000   717.0000     0.0000
 8.000    34.3498     0.5731    13.0000    23.0000    40.0000   694.0000     0.0000
 7.500    39.1570     0.6341    15.0000    26.0000    46.0000   633.0000     0.0000
 7.000    42.8078     0.6534    16.0000    29.0000    52.0000   529.0000     0.0000
 6.500    49.0334     0.7518    19.0000    34.0000    60.0000   593.0000     0.0000
 6.000    54.8498     0.8217    20.0000    37.0000    69.0000   681.0000     0.0000
 5.500    62.5970     0.9319    23.0000    43.0000    79.0000   738.0000     0.0000
 5.000    74.5316     1.0514    26.0000    53.0000    97.0000   961.0000     0.0000
 4.500    87.6266     1.2122    31.0000    62.0000   116.0000  1286.0000     0.0000
 4.000   104.7240     1.4688    35.0000    73.0000   140.0000  1324.0000     0.0000
 3.500   125.0592     1.7511    40.0000    89.0000   169.0000  1126.0000     0.0000
 3.000   150.4084     2.0944    46.0000   107.0000   204.0000  1403.0000     0.0000
 2.500   174.9750     2.5161    49.0000   121.0000   243.0000  2000.0000     0.0000
