Amp  ARL  Std  Q1  Med  Q3  Max
10.000    30.8540     0.5224    10.0000    19.0000    37.0000   449.0000     0.0000
 9.500    33.5782     0.5603    11.0000    21.0000    41.0000   507.0000     0.0000
 9.000    35.4478     0.5579    12.0000    22.0000    45.0000   462.0000     0.0000
 8.500    37.8210     0.5828    13.0000    24.0000    47.0000   429.0000     0.0000
 8.000    40.6246     0.6412    14.0000    26.0000    50.0000   552.0000     0.0000
 7.500    45.0052     0.7249    16.0000    29.0000    56.0000   755.0000     0.0000
 7.000    50.3794     0.7505    18.0000    34.0000    64.0000   567.0000     0.0000
 6.500    54.2576     0.7974    19.0000    37.0000    69.0000   727.0000     0.0000
 6.000    62.0244     0.8972    23.0000    42.0000    79.0000   615.0000     0.0000
 5.500    69.4982     0.9646    25.0000    48.0000    91.0000   609.0000     0.0000
 5.000    78.1602     1.0934    27.0000    54.0000   104.0000   831.0000     0.0000
 4.500    92.7692     1.2819    33.0000    66.0000   124.0000   974.0000     0.0000
 4.000   106.0734     1.4469    37.0000    76.0000   143.0000  1283.0000     0.0000
 3.500   131.2988     1.8187    43.0000    92.0000   177.0000  1062.0000     0.0000
 3.000   161.2338     2.2569    49.0000   111.0000   224.0000  1295.0000     0.0000
 2.500   181.1686     2.5545    53.0000   127.0000   249.0000  1787.0000     0.0000
