Amp  ARL  Std  Q1  Med  Q3  Max
10.000    25.5408     0.4637     9.0000    15.0000    28.0000   432.0000     0.0000
 9.500    28.2826     0.5464    10.0000    17.0000    31.0000   891.0000     0.0000
 9.000    29.5820     0.5150    11.0000    18.0000    34.0000   436.0000     0.0000
 8.500    30.6566     0.5194    11.0000    20.0000    36.0000   475.0000     0.0000
 8.000    35.6374     0.6200    13.0000    23.0000    40.0000   559.0000     0.0000
 7.500    37.4972     0.6264    14.0000    24.0000    44.0000   793.0000     0.0000
 7.000    41.6758     0.6579    15.0000    27.0000    50.0000   616.0000     0.0000
 6.500    47.6602     0.7114    17.0000    32.0000    58.0000   475.0000     0.0000
 6.000    51.6342     0.7811    19.0000    35.0000    65.0000   692.0000     0.0000
 5.500    59.8126     0.8763    22.0000    41.0000    75.0000   622.0000     0.0000
 5.000    70.1802     1.0518    24.0000    48.0000    89.0000   832.0000     0.0000
 4.500    80.9256     1.1368    29.0000    57.0000   106.0000   934.0000     0.0000
 4.000    97.2476     1.3715    34.0000    69.0000   129.0000  1482.0000     0.0000
 3.500   118.2758     1.6057    39.0000    85.0000   160.0000   950.0000     0.0000
 3.000   146.0742     2.0118    44.0000   104.0000   204.0000  1150.0000     0.0000
 2.500   171.0350     2.5004    48.0000   117.0000   234.0000  1608.0000     0.0000
