Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.100    27.8430     0.5733    10.0000    20.0000    39.0000   238.0000
 0.950 0.100    33.4465     0.7426    11.0000    24.0000    45.0000   298.0000
 0.900 0.100    34.3795     0.7074    12.0000    24.0000    46.0000   281.0000
 0.850 0.100    39.4380     0.8640    14.0000    28.0000    52.0000   541.0000
 0.800 0.100    43.0715     0.9020    15.0000    31.0000    58.0000   372.0000
 0.750 0.100    47.7970     1.0295    16.0000    33.0000    63.0000   364.0000
 0.700 0.100    56.2945     1.2293    19.0000    40.0000    78.0000   420.0000
 0.650 0.100    62.0560     1.3402    20.0000    43.0000    85.0000   474.0000
 0.600 0.100    73.4160     1.5523    24.0000    54.0000   100.0000   521.0000
 0.550 0.100    83.2520     1.8639    26.0000    58.0000   112.0000   624.0000
 0.500 0.100    97.5120     2.1782    30.0000    68.0000   130.0000   838.0000
 0.450 0.100   113.5170     2.4429    36.0000    80.0000   156.0000   870.0000
 0.400 0.100   130.5850     2.9220    39.0000    86.0000   182.0000   985.0000
 0.350 0.100   150.8260     3.3732    44.0000   106.0000   209.0000  1432.0000
 0.300 0.100   164.9785     3.8266    45.0000   108.0000   230.0000  1277.0000
 0.250 0.100   174.3400     3.9360    52.0000   118.0000   238.0000  1301.0000
 0.200 0.100   181.5805     3.9873    51.0000   128.0000   251.0000  1506.0000
 0.150 0.100   193.0725     4.2554    56.0000   132.0000   274.0000  1232.0000
 0.100 0.100   198.5280     4.3506    55.0000   140.0000   279.0000  1261.0000
 0.050 0.100   210.8410     4.7557    59.0000   143.0000   289.0000  1505.0000
