Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     2.0758     0.0125     2.0000     2.0000     2.0000    11.0000     0.0000
 2.000 0.180     2.2254     0.0148     2.0000     2.0000     3.0000    12.0000     0.0000
 2.000 0.160     2.4242     0.0172     2.0000     2.0000     3.0000    11.0000     0.0000
 2.000 0.140     2.7060     0.0205     2.0000     2.0000     3.0000    16.0000     0.0000
 2.000 0.120     3.0986     0.0258     2.0000     3.0000     4.0000    22.0000     0.0000
 2.000 0.100     3.7260     0.0337     2.0000     3.0000     5.0000    21.0000     0.0000
 2.000 0.080     4.7328     0.0469     2.0000     4.0000     6.0000    32.0000     0.0000
 2.000 0.060     6.9342     0.0759     3.0000     5.0000     9.0000    70.0000     0.0000
 2.000 0.040    12.6856     0.1553     5.0000    10.0000    17.0000   134.0000     0.0000
 2.000 0.020    41.3098     0.5866    12.0000    29.0000    57.0000   411.0000     0.0000
 1.800 0.200     2.1962     0.0137     2.0000     2.0000     3.0000    10.0000     0.0000
 1.800 0.180     2.3610     0.0154     2.0000     2.0000     3.0000    10.0000     0.0000
 1.800 0.160     2.5874     0.0187     2.0000     2.0000     3.0000    14.0000     0.0000
 1.800 0.140     2.9230     0.0231     2.0000     2.0000     3.0000    20.0000     0.0000
 1.800 0.120     3.3788     0.0293     2.0000     3.0000     4.0000    19.0000     0.0000
 1.800 0.100     4.0090     0.0361     2.0000     3.0000     5.0000    24.0000     0.0000
 1.800 0.080     5.2860     0.0529     3.0000     4.0000     7.0000    49.0000     0.0000
 1.800 0.060     7.6250     0.0829     3.0000     6.0000    10.0000    56.0000     0.0000
 1.800 0.040    13.8166     0.1737     5.0000    10.0000    19.0000   140.0000     0.0000
 1.800 0.020    42.6404     0.5965    14.0000    30.0000    58.0000   590.0000     0.0000
 1.600 0.200     2.4082     0.0157     2.0000     2.0000     3.0000    10.0000     0.0000
 1.600 0.180     2.5702     0.0180     2.0000     2.0000     3.0000    18.0000     0.0000
 1.600 0.160     2.8370     0.0212     2.0000     2.0000     3.0000    19.0000     0.0000
 1.600 0.140     3.1638     0.0257     2.0000     3.0000     4.0000    19.0000     0.0000
 1.600 0.120     3.6782     0.0320     2.0000     3.0000     4.0000    25.0000     0.0000
 1.600 0.100     4.4990     0.0421     2.0000     4.0000     6.0000    25.0000     0.0000
 1.600 0.080     5.9092     0.0609     3.0000     5.0000     8.0000    42.0000     0.0000
 1.600 0.060     8.6516     0.1004     4.0000     7.0000    11.0000    84.0000     0.0000
 1.600 0.040    15.6850     0.1992     6.0000    12.0000    21.0000   155.0000     0.0000
 1.600 0.020    47.7638     0.6537    15.0000    33.0000    65.0000   399.0000     0.0000
 1.400 0.200     2.6898     0.0186     2.0000     2.0000     3.0000    13.0000     0.0000
 1.400 0.180     2.9078     0.0205     2.0000     3.0000     3.0000    15.0000     0.0000
 1.400 0.160     3.2054     0.0241     2.0000     3.0000     4.0000    18.0000     0.0000
 1.400 0.140     3.6798     0.0304     2.0000     3.0000     5.0000    23.0000     0.0000
 1.400 0.120     4.2626     0.0394     2.0000     4.0000     5.0000    29.0000     0.0000
 1.400 0.100     5.2548     0.0491     3.0000     4.0000     7.0000    34.0000     0.0000
 1.400 0.080     6.8402     0.0729     3.0000     5.0000     9.0000    62.0000     0.0000
 1.400 0.060    10.2596     0.1183     4.0000     8.0000    14.0000    80.0000     0.0000
 1.400 0.040    18.3580     0.2296     7.0000    14.0000    25.0000   152.0000     0.0000
 1.400 0.020    54.8150     0.7514    17.0000    38.0000    76.0000   503.0000     0.0000
 1.200 0.200     3.1138     0.0217     2.0000     3.0000     4.0000    14.0000     0.0000
 1.200 0.180     3.4368     0.0264     2.0000     3.0000     4.0000    23.0000     0.0000
 1.200 0.160     3.7482     0.0301     2.0000     3.0000     5.0000    21.0000     0.0000
 1.200 0.140     4.2650     0.0367     3.0000     4.0000     5.0000    30.0000     0.0000
 1.200 0.120     5.0746     0.0464     3.0000     4.0000     6.0000    33.0000     0.0000
 1.200 0.100     6.1208     0.0609     3.0000     5.0000     8.0000    40.0000     0.0000
 1.200 0.080     8.1698     0.0879     4.0000     6.0000    11.0000    68.0000     0.0000
 1.200 0.060    12.1744     0.1475     5.0000     9.0000    16.0000   125.0000     0.0000
 1.200 0.040    22.2826     0.2863     8.0000    17.0000    30.0000   185.0000     0.0000
 1.200 0.020    63.4058     0.8904    19.0000    44.0000    87.0000   700.0000     0.0000
 1.000 0.200     3.8356     0.0287     3.0000     3.0000     5.0000    26.0000     0.0000
 1.000 0.180     4.2132     0.0334     3.0000     4.0000     5.0000    30.0000     0.0000
 1.000 0.160     4.6212     0.0384     3.0000     4.0000     6.0000    32.0000     0.0000
 1.000 0.140     5.3596     0.0479     3.0000     5.0000     7.0000    39.0000     0.0000
 1.000 0.120     6.1960     0.0589     3.0000     5.0000     8.0000    49.0000     0.0000
 1.000 0.100     7.7118     0.0801     4.0000     6.0000    10.0000    93.0000     0.0000
 1.000 0.080    10.2024     0.1159     5.0000     8.0000    13.0000    95.0000     0.0000
 1.000 0.060    15.5206     0.1884     6.0000    12.0000    20.0000   139.0000     0.0000
 1.000 0.040    27.4666     0.3572    10.0000    20.0000    37.0000   276.0000     0.0000
 1.000 0.020    73.6494     1.0112    23.0000    52.0000    99.0000   804.0000     0.0000
 0.800 0.200     4.9650     0.0384     3.0000     4.0000     6.0000    26.0000     0.0000
 0.800 0.180     5.3976     0.0441     3.0000     5.0000     7.0000    45.0000     0.0000
 0.800 0.160     6.0484     0.0524     4.0000     5.0000     8.0000    38.0000     0.0000
 0.800 0.140     7.0154     0.0641     4.0000     6.0000     9.0000    45.0000     0.0000
 0.800 0.120     8.4334     0.0834     5.0000     7.0000    11.0000    59.0000     0.0000
 0.800 0.100    10.3782     0.1078     5.0000     8.0000    13.0000    79.0000     0.0000
 0.800 0.080    13.9238     0.1567     6.0000    11.0000    18.0000   114.0000     0.0000
 0.800 0.060    20.6500     0.2537     8.0000    16.0000    27.0000   179.0000     0.0000
 0.800 0.040    36.9414     0.4789    13.0000    27.0000    50.0000   266.0000     0.0000
 0.800 0.020    89.5412     1.2402    27.0000    63.0000   122.0000   652.0000     0.0000
 0.600 0.200     7.4912     0.0605     5.0000     7.0000     9.0000    58.0000     0.0000
 0.600 0.180     7.9854     0.0674     5.0000     7.0000    10.0000    51.0000     0.0000
 0.600 0.160     9.0550     0.0802     5.0000     8.0000    11.0000    72.0000     0.0000
 0.600 0.140    10.4102     0.0955     6.0000     9.0000    13.0000    60.0000     0.0000
 0.600 0.120    12.3204     0.1215     7.0000    10.0000    16.0000    71.0000     0.0000
 0.600 0.100    14.9968     0.1547     8.0000    12.0000    19.0000   136.0000     0.0000
 0.600 0.080    20.6290     0.2345     9.0000    16.0000    27.0000   182.0000     0.0000
 0.600 0.060    30.2440     0.3663    12.0000    23.0000    41.0000   220.0000     0.0000
 0.600 0.040    51.5486     0.6573    19.0000    38.0000    70.0000   396.0000     0.0000
 0.600 0.020   114.5488     1.5700    35.0000    79.0000   159.0000   801.0000     0.0000
 0.400 0.200    13.8012     0.1180     8.0000    12.0000    18.0000    69.0000     0.0000
 0.400 0.180    15.1452     0.1316     9.0000    13.0000    20.0000   105.0000     0.0000
 0.400 0.160    17.0706     0.1627     9.0000    15.0000    22.0000   111.0000     0.0000
 0.400 0.140    19.5768     0.1959    10.0000    16.0000    25.0000   144.0000     0.0000
 0.400 0.120    23.1858     0.2348    12.0000    19.0000    30.0000   183.0000     0.0000
 0.400 0.100    29.3000     0.3248    14.0000    24.0000    38.0000   236.0000     0.0000
 0.400 0.080    38.2886     0.4515    17.0000    30.0000    51.0000   489.0000     0.0000
 0.400 0.060    54.1738     0.6916    21.0000    40.0000    71.0000   599.0000     0.0000
 0.400 0.040    87.2240     1.1659    29.0000    63.0000   118.0000  1079.0000     0.0000
 0.400 0.020   151.0702     2.1004    46.0000   108.0000   212.0000  1314.0000     0.0000
 0.200 0.200    56.3834     0.6677    23.0000    44.0000    76.0000   517.0000     0.0000
 0.200 0.180    61.1928     0.7857    24.0000    46.0000    81.0000   627.0000     0.0000
 0.200 0.160    69.7862     0.8659    27.0000    52.0000    94.0000   626.0000     0.0000
 0.200 0.140    78.8148     1.0044    30.0000    59.0000   106.0000   704.0000     0.0000
 0.200 0.120    92.2858     1.2273    32.0000    67.0000   124.0000   842.0000     0.0000
 0.200 0.100   109.1448     1.4575    38.0000    80.0000   145.0000   937.0000     0.0000
 0.200 0.080   127.1308     1.7014    42.0000    91.0000   179.0000  1108.0000     0.0000
 0.200 0.060   150.5132     2.0598    46.0000   106.0000   209.0000  1320.0000     0.0000
 0.200 0.040   179.2342     2.5020    54.0000   122.0000   245.0000  1407.0000     0.0000
 0.200 0.020   187.8948     2.6536    55.0000   129.0000   263.0000  1773.0000     0.0000
