Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.6396     0.0462     3.0000     5.0000     7.0000    35.0000
 2.000 0.190     5.8806     0.0517     3.0000     5.0000     7.0000    44.0000
 2.000 0.180     6.2106     0.0591     4.0000     5.0000     8.0000    81.0000
 2.000 0.170     6.6916     0.0662     4.0000     6.0000     8.0000    63.0000
 2.000 0.160     7.0790     0.0777     4.0000     6.0000     9.0000   128.0000
 2.000 0.150     7.8060     0.0881     4.0000     6.0000     9.0000    87.0000
 2.000 0.140     8.4498     0.1013     4.0000     7.0000    10.0000   125.0000
 2.000 0.130     9.5464     0.1177     5.0000     7.0000    12.0000   120.0000
 2.000 0.120    10.7306     0.1405     5.0000     8.0000    13.0000   176.0000
 2.000 0.110    12.3102     0.1676     5.0000     9.0000    15.0000   130.0000
 2.000 0.100    15.1184     0.2111     6.0000    10.0000    19.0000   170.0000
 2.000 0.090    18.1640     0.2520     7.0000    12.0000    23.0000   168.0000
 2.000 0.080    24.1968     0.3574     8.0000    16.0000    31.0000   318.0000
 2.000 0.070    31.0554     0.4546     9.0000    20.0000    42.0000   352.0000
 2.000 0.060    40.5818     0.5785    11.0000    27.0000    56.0000   435.0000
 2.000 0.050    54.1024     0.8074    15.0000    35.0000    75.0000   734.0000
 2.000 0.040    74.7500     1.0795    21.0000    50.0000   105.0000  1001.0000
 2.000 0.030   100.1478     1.4366    27.0000    68.0000   139.0000  1070.0000
 2.000 0.020   139.2214     1.9796    39.0000    97.0000   196.0000  1335.0000
 2.000 0.010   173.8712     2.5190    49.0000   118.0000   236.0000  1481.0000
