Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.5482     0.0515     3.0000     5.0000     7.0000    72.0000
 2.000 0.190     5.8224     0.0571     3.0000     5.0000     7.0000    65.0000
 2.000 0.180     6.0806     0.0595     3.0000     5.0000     8.0000    74.0000
 2.000 0.170     6.5666     0.0700     4.0000     5.0000     8.0000    90.0000
 2.000 0.160     7.2530     0.0829     4.0000     6.0000     9.0000    99.0000
 2.000 0.150     7.7762     0.0927     4.0000     6.0000     9.0000   104.0000
 2.000 0.140     8.7768     0.1124     4.0000     7.0000    10.0000   109.0000
 2.000 0.130     9.6758     0.1332     5.0000     7.0000    12.0000   208.0000
 2.000 0.120    11.1246     0.1587     5.0000     8.0000    13.0000   187.0000
 2.000 0.110    13.7322     0.2011     6.0000     9.0000    17.0000   159.0000
 2.000 0.100    16.3354     0.2533     6.0000    10.0000    21.0000   239.0000
 2.000 0.090    20.4326     0.3194     6.0000    12.0000    26.0000   248.0000
 2.000 0.080    26.2896     0.4016     8.0000    16.0000    35.0000   381.0000
 2.000 0.070    33.9746     0.5112     9.0000    22.0000    46.0000   378.0000
 2.000 0.060    45.6922     0.6769    12.0000    30.0000    63.0000   591.0000
 2.000 0.050    60.9244     0.9001    16.0000    42.0000    83.0000   616.0000
 2.000 0.040    78.6900     1.1401    21.0000    53.0000   110.0000  1394.0000
 2.000 0.030   108.3574     1.5435    30.0000    76.0000   149.0000  1009.0000
 2.000 0.020   146.6626     2.0988    40.0000   100.0000   206.0000  1298.0000
 2.000 0.010   182.2016     2.5913    52.0000   130.0000   248.0000  1712.0000
