Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     8.9966     0.1216     3.0000     6.0000    12.0000    78.0000
 2.000 0.190     9.7760     0.1337     3.0000     7.0000    13.0000    85.0000
 2.000 0.180    10.3964     0.1391     3.0000     7.0000    14.0000    96.0000
 2.000 0.170    11.3494     0.1516     4.0000     8.0000    16.0000    93.0000
 2.000 0.160    12.2082     0.1624     4.0000     8.0000    17.0000    95.0000
 2.000 0.150    13.3640     0.1746     5.0000    10.0000    18.0000   122.0000
 2.000 0.140    14.7694     0.1967     5.0000    11.0000    20.0000   118.0000
 2.000 0.130    16.9102     0.2297     5.0000    12.0000    23.0000   158.0000
 2.000 0.120    18.1774     0.2475     6.0000    13.0000    25.0000   192.0000
 2.000 0.110    20.5962     0.2709     7.0000    15.0000    28.0000   167.0000
 2.000 0.100    23.3152     0.3016     7.0000    17.0000    33.0000   194.0000
 2.000 0.090    26.5922     0.3380     9.0000    20.0000    38.0000   219.0000
 2.000 0.080    31.1398     0.4066    10.0000    23.0000    44.0000   294.0000
 2.000 0.070    37.6394     0.4825    13.0000    28.0000    53.0000   329.0000
 2.000 0.060    44.9946     0.5949    14.0000    33.0000    63.0000   440.0000
 2.000 0.050    57.7182     0.7532    19.0000    43.0000    81.0000   396.0000
 2.000 0.040    75.3524     1.0114    23.0000    55.0000   105.0000   576.0000
 2.000 0.030   104.1350     1.4482    32.0000    74.0000   143.0000  1034.0000
 2.000 0.020   141.0754     1.9446    41.0000   100.0000   199.0000  1089.0000
 2.000 0.010   178.3802     2.5201    51.0000   122.0000   250.0000  1553.0000
