Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     8.3866     0.1131     3.0000     6.0000    11.0000    89.0000
 2.000 0.190     8.7510     0.1180     3.0000     6.0000    12.0000    91.0000
 2.000 0.180     9.4486     0.1237     3.0000     7.0000    13.0000    68.0000
 2.000 0.170     9.8936     0.1309     3.0000     7.0000    13.0000    76.0000
 2.000 0.160    11.1804     0.1463     4.0000     8.0000    15.0000    90.0000
 2.000 0.150    12.1948     0.1632     4.0000     9.0000    17.0000   106.0000
 2.000 0.140    13.1996     0.1731     4.0000     9.0000    18.0000   100.0000
 2.000 0.130    14.4278     0.1811     5.0000    11.0000    20.0000   111.0000
 2.000 0.120    16.1566     0.2057     6.0000    12.0000    22.0000   117.0000
 2.000 0.110    18.0900     0.2313     6.0000    13.0000    25.0000   152.0000
 2.000 0.100    20.5764     0.2653     7.0000    15.0000    28.0000   162.0000
 2.000 0.090    23.7040     0.2936     8.0000    18.0000    34.0000   153.0000
 2.000 0.080    28.0672     0.3526     9.0000    21.0000    40.0000   269.0000
 2.000 0.070    33.4298     0.4293    11.0000    25.0000    46.0000   279.0000
 2.000 0.060    40.6158     0.5229    14.0000    31.0000    56.0000   298.0000
 2.000 0.050    53.2484     0.6958    17.0000    40.0000    74.0000   486.0000
 2.000 0.040    70.9672     0.9638    22.0000    52.0000    98.0000   703.0000
 2.000 0.030    96.9526     1.3050    30.0000    71.0000   135.0000   837.0000
 2.000 0.020   132.6746     1.8456    38.0000    94.0000   185.0000  1231.0000
 2.000 0.010   173.8194     2.4719    49.0000   120.0000   242.0000  1464.0000
