Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     6.3740     0.0716     3.0000     5.0000     8.0000    43.0000
 2.000 0.190     6.7888     0.0780     3.0000     5.0000     9.0000    53.0000
 2.000 0.180     7.2234     0.0820     3.0000     6.0000    10.0000    50.0000
 2.000 0.170     7.6852     0.0884     3.0000     6.0000    10.0000    62.0000
 2.000 0.160     8.2394     0.0956     3.0000     6.0000    11.0000    71.0000
 2.000 0.150     8.9106     0.1051     4.0000     7.0000    12.0000    78.0000
 2.000 0.140     9.9744     0.1151     4.0000     8.0000    13.0000    70.0000
 2.000 0.130    10.7784     0.1284     4.0000     8.0000    15.0000    85.0000
 2.000 0.120    12.2076     0.1451     5.0000    10.0000    17.0000   104.0000
 2.000 0.110    13.6568     0.1615     5.0000    11.0000    19.0000   104.0000
 2.000 0.100    15.6390     0.1858     6.0000    12.0000    22.0000   104.0000
 2.000 0.090    17.9716     0.2138     7.0000    14.0000    24.0000   121.0000
 2.000 0.080    21.5058     0.2661     8.0000    17.0000    29.0000   212.0000
 2.000 0.070    25.9788     0.3317     9.0000    20.0000    35.0000   256.0000
 2.000 0.060    33.4130     0.4239    12.0000    25.0000    45.0000   344.0000
 2.000 0.050    43.3632     0.5792    15.0000    32.0000    59.0000   366.0000
 2.000 0.040    61.9510     0.8317    21.0000    46.0000    84.0000   577.0000
 2.000 0.030    89.6128     1.2395    28.0000    63.0000   123.0000   783.0000
 2.000 0.020   133.7420     1.8672    40.0000    93.0000   187.0000  1404.0000
 2.000 0.010   180.0146     2.5428    53.0000   126.0000   250.0000  2000.0000
