Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.8044     0.0571     3.0000     5.0000     7.0000    42.0000
 2.000 0.190     6.1770     0.0659     3.0000     5.0000     8.0000    54.0000
 2.000 0.180     6.4566     0.0687     3.0000     5.0000     8.0000    63.0000
 2.000 0.170     6.9746     0.0774     3.0000     6.0000     9.0000    83.0000
 2.000 0.160     7.4960     0.0820     4.0000     6.0000    10.0000    75.0000
 2.000 0.150     8.1636     0.0959     4.0000     6.0000    11.0000    78.0000
 2.000 0.140     9.1200     0.1081     4.0000     7.0000    12.0000    74.0000
 2.000 0.130    10.2226     0.1292     4.0000     8.0000    13.0000   108.0000
 2.000 0.120    11.5020     0.1524     5.0000     8.0000    15.0000   140.0000
 2.000 0.110    13.2048     0.1836     5.0000    10.0000    17.0000   235.0000
 2.000 0.100    15.5010     0.2189     6.0000    11.0000    20.0000   200.0000
 2.000 0.090    18.6318     0.2749     7.0000    13.0000    23.0000   243.0000
 2.000 0.080    24.7716     0.3776     8.0000    16.0000    32.0000   334.0000
 2.000 0.070    32.5216     0.4940     9.0000    22.0000    43.0000   469.0000
 2.000 0.060    44.5284     0.6495    12.0000    30.0000    61.0000   530.0000
 2.000 0.050    58.7602     0.8639    16.0000    39.0000    81.0000   535.0000
 2.000 0.040    82.1288     1.2183    21.0000    54.0000   115.0000   852.0000
 2.000 0.030   111.8994     1.6276    31.0000    77.0000   155.0000  1279.0000
 2.000 0.020   146.2988     2.1039    41.0000   100.0000   202.0000  1373.0000
 2.000 0.010   181.6642     2.5949    51.0000   126.0000   254.0000  1682.0000
