Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.3454     0.0450     3.0000     5.0000     7.0000    31.0000
 2.000 0.190     5.7132     0.0509     3.0000     5.0000     7.0000    65.0000
 2.000 0.180     6.0158     0.0534     3.0000     5.0000     8.0000    51.0000
 2.000 0.170     6.3130     0.0564     4.0000     5.0000     8.0000    45.0000
 2.000 0.160     6.7978     0.0646     4.0000     6.0000     9.0000    46.0000
 2.000 0.150     7.3440     0.0720     4.0000     6.0000     9.0000    61.0000
 2.000 0.140     7.9248     0.0773     4.0000     7.0000    10.0000    56.0000
 2.000 0.130     8.7082     0.1061     4.0000     7.0000    11.0000   227.0000
 2.000 0.120     9.8058     0.1064     5.0000     8.0000    13.0000    84.0000
 2.000 0.110    11.0772     0.1293     5.0000     9.0000    14.0000   117.0000
 2.000 0.100    12.7654     0.1579     6.0000    10.0000    16.0000   135.0000
 2.000 0.090    15.6004     0.2140     6.0000    11.0000    19.0000   184.0000
 2.000 0.080    19.1660     0.2569     7.0000    14.0000    24.0000   195.0000
 2.000 0.070    24.8922     0.3482     9.0000    17.0000    33.0000   252.0000
 2.000 0.060    34.3900     0.5083    10.0000    23.0000    47.0000   553.0000
 2.000 0.050    46.0958     0.6551    13.0000    31.0000    63.0000   476.0000
 2.000 0.040    65.6410     0.9246    19.0000    45.0000    92.0000   644.0000
 2.000 0.030    96.7852     1.3567    28.0000    66.0000   135.0000   919.0000
 2.000 0.020   138.8214     2.0085    39.0000    94.0000   191.0000  1315.0000
 2.000 0.010   177.0386     2.5056    51.0000   121.0000   245.0000  1343.0000
