Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     7.0200     0.0833     3.0000     5.0000     9.0000    65.0000
 2.000 0.190     7.5924     0.0922     3.0000     6.0000    10.0000    84.0000
 2.000 0.180     8.0496     0.0958     3.0000     6.0000    11.0000    99.0000
 2.000 0.170     8.5270     0.1027     3.0000     6.0000    11.0000    70.0000
 2.000 0.160     9.1408     0.1082     4.0000     7.0000    12.0000    73.0000
 2.000 0.150     9.9634     0.1204     4.0000     8.0000    13.0000    75.0000
 2.000 0.140    10.9038     0.1311     4.0000     8.0000    15.0000    97.0000
 2.000 0.130    12.0368     0.1450     5.0000     9.0000    17.0000   107.0000
 2.000 0.120    13.4554     0.1692     5.0000    10.0000    18.0000   148.0000
 2.000 0.110    15.2400     0.1921     6.0000    12.0000    21.0000   183.0000
 2.000 0.100    17.6426     0.2185     6.0000    14.0000    25.0000   215.0000
 2.000 0.090    20.2078     0.2643     7.0000    15.0000    27.0000   185.0000
 2.000 0.080    23.9526     0.3123     9.0000    18.0000    32.0000   303.0000
 2.000 0.070    29.8366     0.3913    11.0000    22.0000    40.0000   276.0000
 2.000 0.060    37.9960     0.5037    13.0000    28.0000    51.0000   341.0000
 2.000 0.050    51.7236     0.7154    17.0000    37.0000    71.0000   661.0000
 2.000 0.040    73.0296     1.0160    23.0000    52.0000    99.0000   565.0000
 2.000 0.030   103.5578     1.4691    30.0000    71.0000   142.0000   872.0000
 2.000 0.020   145.2084     2.0192    42.0000   100.0000   202.0000  1283.0000
 2.000 0.010   180.5298     2.5979    52.0000   126.0000   251.0000  1576.0000
