Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.3576     0.0468     3.0000     5.0000     7.0000    32.0000
 2.000 0.190     5.7270     0.0520     3.0000     5.0000     7.0000    43.0000
 2.000 0.180     6.0152     0.0561     3.0000     5.0000     8.0000    43.0000
 2.000 0.170     6.4142     0.0595     3.0000     5.0000     8.0000    44.0000
 2.000 0.160     6.8882     0.0653     4.0000     6.0000     9.0000    49.0000
 2.000 0.150     7.3756     0.0723     4.0000     6.0000    10.0000    59.0000
 2.000 0.140     7.9998     0.0862     4.0000     6.0000    10.0000    73.0000
 2.000 0.130     9.0600     0.0989     4.0000     7.0000    12.0000   100.0000
 2.000 0.120     9.8472     0.1131     5.0000     8.0000    12.0000    89.0000
 2.000 0.110    11.1986     0.1383     5.0000     9.0000    14.0000   218.0000
 2.000 0.100    12.9186     0.1627     6.0000    10.0000    16.0000   122.0000
 2.000 0.090    15.7084     0.2085     6.0000    11.0000    20.0000   137.0000
 2.000 0.080    19.4492     0.2732     7.0000    13.0000    25.0000   223.0000
 2.000 0.070    26.3782     0.3731     9.0000    18.0000    35.0000   282.0000
 2.000 0.060    35.0948     0.5060    11.0000    24.0000    48.0000   506.0000
 2.000 0.050    49.8106     0.7319    13.0000    32.0000    69.0000   457.0000
 2.000 0.040    68.9016     0.9833    20.0000    48.0000    96.0000   982.0000
 2.000 0.030    98.7114     1.4241    27.0000    67.0000   136.0000   968.0000
 2.000 0.020   139.8430     2.0157    40.0000    95.0000   192.0000  1210.0000
 2.000 0.010   177.0102     2.5292    52.0000   122.0000   242.0000  1597.0000
