Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.5596     0.0544     3.0000     5.0000     7.0000    35.0000
 2.000 0.190     5.9244     0.0587     3.0000     5.0000     8.0000    44.0000
 2.000 0.180     6.2672     0.0631     3.0000     5.0000     8.0000    45.0000
 2.000 0.170     6.6952     0.0718     3.0000     5.0000     9.0000    65.0000
 2.000 0.160     7.1058     0.0732     3.0000     6.0000     9.0000    52.0000
 2.000 0.150     7.7440     0.0838     4.0000     6.0000    10.0000    80.0000
 2.000 0.140     8.6010     0.0949     4.0000     7.0000    11.0000   111.0000
 2.000 0.130     9.2690     0.1042     4.0000     7.0000    12.0000    75.0000
 2.000 0.120    10.2518     0.1137     5.0000     8.0000    14.0000    86.0000
 2.000 0.110    11.4024     0.1269     5.0000     9.0000    15.0000    89.0000
 2.000 0.100    13.2838     0.1551     6.0000    11.0000    18.0000   107.0000
 2.000 0.090    15.3480     0.1829     6.0000    12.0000    20.0000   174.0000
 2.000 0.080    18.1540     0.2236     7.0000    14.0000    24.0000   199.0000
 2.000 0.070    22.0080     0.2672     9.0000    17.0000    29.0000   171.0000
 2.000 0.060    28.8236     0.3695    11.0000    22.0000    38.0000   356.0000
 2.000 0.050    38.0956     0.5124    13.0000    27.0000    51.0000   314.0000
 2.000 0.040    57.1050     0.7828    19.0000    40.0000    77.0000   577.0000
 2.000 0.030    83.6854     1.1588    26.0000    59.0000   115.0000   719.0000
 2.000 0.020   124.2358     1.7374    37.0000    87.0000   173.0000   943.0000
 2.000 0.010   177.9746     2.4974    51.0000   122.0000   247.0000  1483.0000
