Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200    11.3416     0.1672     3.0000     7.0000    16.0000   105.0000
 2.000 0.190    12.0846     0.1656     4.0000     8.0000    17.0000   116.0000
 2.000 0.180    12.7870     0.1805     4.0000     9.0000    17.0000   117.0000
 2.000 0.170    13.9972     0.1930     4.0000    10.0000    19.0000   130.0000
 2.000 0.160    15.2992     0.2142     4.0000    10.0000    21.0000   163.0000
 2.000 0.150    16.6586     0.2328     5.0000    12.0000    23.0000   148.0000
 2.000 0.140    18.1298     0.2453     5.0000    13.0000    26.0000   164.0000
 2.000 0.130    20.1716     0.2690     6.0000    15.0000    29.0000   173.0000
 2.000 0.120    22.4906     0.3011     7.0000    16.0000    31.0000   165.0000
 2.000 0.110    24.7622     0.3239     8.0000    18.0000    34.0000   197.0000
 2.000 0.100    28.5188     0.3741     9.0000    21.0000    41.0000   211.0000
 2.000 0.090    33.0244     0.4379    11.0000    24.0000    47.0000   357.0000
 2.000 0.080    37.9936     0.5008    12.0000    28.0000    53.0000   309.0000
 2.000 0.070    44.9696     0.5842    15.0000    34.0000    63.0000   480.0000
 2.000 0.060    55.2602     0.7239    17.0000    42.0000    78.0000   517.0000
 2.000 0.050    67.9730     0.9196    21.0000    50.0000    95.0000   609.0000
 2.000 0.040    88.3590     1.1658    28.0000    66.0000   124.0000   660.0000
 2.000 0.030   115.5172     1.5723    35.0000    84.0000   160.0000   853.0000
 2.000 0.020   150.8076     2.1355    43.0000   105.0000   210.0000  1395.0000
 2.000 0.010   183.3986     2.5968    53.0000   129.0000   254.0000  1644.0000
