Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     6.2298     0.0691     3.0000     5.0000     8.0000    40.0000
 2.000 0.190     6.4800     0.0711     3.0000     5.0000     9.0000    41.0000
 2.000 0.180     6.9716     0.0770     3.0000     5.0000     9.0000    64.0000
 2.000 0.170     7.5676     0.0840     3.0000     6.0000    10.0000    61.0000
 2.000 0.160     8.0784     0.0914     4.0000     6.0000    11.0000    58.0000
 2.000 0.150     8.6838     0.0961     4.0000     7.0000    12.0000    70.0000
 2.000 0.140     9.4462     0.1072     4.0000     7.0000    13.0000    79.0000
 2.000 0.130    10.3338     0.1206     4.0000     8.0000    14.0000    90.0000
 2.000 0.120    11.5314     0.1352     5.0000     9.0000    15.0000    99.0000
 2.000 0.110    12.7130     0.1537     5.0000    10.0000    17.0000   141.0000
 2.000 0.100    14.7424     0.1792     6.0000    12.0000    20.0000   135.0000
 2.000 0.090    17.1286     0.2112     7.0000    13.0000    23.0000   145.0000
 2.000 0.080    20.8078     0.2625     8.0000    16.0000    28.0000   208.0000
 2.000 0.070    25.3230     0.3343     9.0000    19.0000    34.0000   345.0000
 2.000 0.060    33.6406     0.4490    12.0000    25.0000    45.0000   313.0000
 2.000 0.050    45.3794     0.6077    15.0000    33.0000    62.0000   397.0000
 2.000 0.040    62.5156     0.8509    20.0000    44.0000    87.0000   635.0000
 2.000 0.030    93.7746     1.3180    28.0000    65.0000   131.0000   714.0000
 2.000 0.020   133.0626     1.8435    39.0000    95.0000   185.0000  1159.0000
 2.000 0.010   174.4208     2.4912    49.0000   122.0000   241.0000  1799.0000
