Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     8.4712     0.1050     3.0000     6.0000    11.0000    53.0000
 2.000 0.190     8.9522     0.1132     3.0000     6.0000    12.0000    66.0000
 2.000 0.180     9.6872     0.1172     3.0000     7.0000    14.0000    69.0000
 2.000 0.170    10.3000     0.1257     4.0000     8.0000    14.0000    72.0000
 2.000 0.160    11.1298     0.1416     4.0000     8.0000    15.0000   131.0000
 2.000 0.150    12.0874     0.1501     4.0000     9.0000    17.0000   101.0000
 2.000 0.140    13.0830     0.1645     5.0000    10.0000    18.0000   116.0000
 2.000 0.130    14.4304     0.1801     5.0000    11.0000    20.0000   126.0000
 2.000 0.120    16.3260     0.2004     6.0000    13.0000    23.0000   156.0000
 2.000 0.110    18.1220     0.2302     6.0000    14.0000    25.0000   142.0000
 2.000 0.100    21.0820     0.2746     8.0000    16.0000    29.0000   282.0000
 2.000 0.090    24.0208     0.3046     8.0000    18.0000    33.0000   241.0000
 2.000 0.080    28.5362     0.3564    10.0000    22.0000    39.0000   216.0000
 2.000 0.070    33.9404     0.4301    12.0000    26.0000    47.0000   287.0000
 2.000 0.060    43.1152     0.5579    15.0000    33.0000    59.0000   412.0000
 2.000 0.050    57.3018     0.7529    19.0000    42.0000    78.0000   653.0000
 2.000 0.040    76.8864     1.0536    25.0000    54.0000   106.0000   656.0000
 2.000 0.030   108.6252     1.4971    34.0000    77.0000   150.0000   893.0000
 2.000 0.020   145.7814     2.0609    43.0000   102.0000   202.0000  1543.0000
 2.000 0.010   175.3452     2.4460    51.0000   124.0000   244.0000  1681.0000
