Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.5562     0.0483     3.0000     5.0000     7.0000    48.0000
 2.000 0.190     5.9030     0.0541     3.0000     5.0000     7.0000    73.0000
 2.000 0.180     6.2434     0.0631     4.0000     5.0000     8.0000   129.0000
 2.000 0.170     6.6700     0.0682     4.0000     6.0000     8.0000    74.0000
 2.000 0.160     6.9440     0.0736     4.0000     6.0000     9.0000    86.0000
 2.000 0.150     7.6978     0.0916     4.0000     6.0000     9.0000   100.0000
 2.000 0.140     8.4338     0.0994     4.0000     7.0000    10.0000   119.0000
 2.000 0.130     9.5184     0.1230     5.0000     7.0000    11.0000   151.0000
 2.000 0.120    11.0774     0.1551     5.0000     8.0000    13.0000   157.0000
 2.000 0.110    12.8082     0.1743     5.0000     9.0000    15.0000   116.0000
 2.000 0.100    15.3156     0.2156     6.0000    10.0000    19.0000   147.0000
 2.000 0.090    19.4442     0.2892     7.0000    12.0000    24.0000   213.0000
 2.000 0.080    25.5464     0.3851     8.0000    16.0000    34.0000   443.0000
 2.000 0.070    32.5432     0.4950     9.0000    21.0000    44.0000   463.0000
 2.000 0.060    42.3908     0.6146    12.0000    28.0000    59.0000   443.0000
 2.000 0.050    57.5306     0.8360    16.0000    38.0000    80.0000   526.0000
 2.000 0.040    76.7784     1.1270    20.0000    53.0000   107.0000   711.0000
 2.000 0.030   103.6034     1.4654    29.0000    72.0000   148.0000  1068.0000
 2.000 0.020   138.2440     2.0079    37.0000    94.0000   194.0000  1326.0000
 2.000 0.010   179.0820     2.5313    51.0000   123.0000   246.0000  1535.0000
