Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     6.0006     0.0647     3.0000     5.0000     8.0000    47.0000
 2.000 0.190     6.4394     0.0689     3.0000     5.0000     8.0000    55.0000
 2.000 0.180     6.8524     0.0746     3.0000     5.0000     9.0000    51.0000
 2.000 0.170     7.3806     0.0833     3.0000     6.0000    10.0000    68.0000
 2.000 0.160     7.7516     0.0851     3.0000     6.0000    10.0000    54.0000
 2.000 0.150     8.4966     0.0964     4.0000     7.0000    11.0000    60.0000
 2.000 0.140     9.1814     0.1037     4.0000     7.0000    12.0000    70.0000
 2.000 0.130    10.3094     0.1187     4.0000     8.0000    14.0000   122.0000
 2.000 0.120    11.6726     0.1406     5.0000     9.0000    16.0000   108.0000
 2.000 0.110    12.7974     0.1508     5.0000    10.0000    17.0000    89.0000
 2.000 0.100    14.8404     0.1781     6.0000    12.0000    20.0000   121.0000
 2.000 0.090    17.0104     0.2012     7.0000    13.0000    23.0000   136.0000
 2.000 0.080    20.3398     0.2531     8.0000    16.0000    27.0000   157.0000
 2.000 0.070    24.7866     0.3118     9.0000    19.0000    33.0000   215.0000
 2.000 0.060    31.5202     0.4135    11.0000    24.0000    42.0000   357.0000
 2.000 0.050    40.5626     0.5373    15.0000    30.0000    54.0000   369.0000
 2.000 0.040    57.9848     0.7796    19.0000    42.0000    80.0000   497.0000
 2.000 0.030    88.0664     1.2296    27.0000    60.0000   122.0000   604.0000
 2.000 0.020   129.4830     1.8197    38.0000    91.0000   179.0000  1381.0000
 2.000 0.010   178.9028     2.5435    52.0000   122.0000   250.0000  2000.0000
