Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.7808     0.0593     3.0000     5.0000     8.0000    36.0000
 2.000 0.190     5.9962     0.0626     3.0000     5.0000     8.0000    54.0000
 2.000 0.180     6.4978     0.0667     3.0000     5.0000     9.0000    52.0000
 2.000 0.170     7.0040     0.0752     3.0000     5.0000     9.0000    47.0000
 2.000 0.160     7.5282     0.0816     4.0000     6.0000    10.0000    68.0000
 2.000 0.150     8.0284     0.0839     4.0000     6.0000    11.0000    49.0000
 2.000 0.140     8.6914     0.0952     4.0000     7.0000    12.0000    72.0000
 2.000 0.130     9.6880     0.1074     4.0000     8.0000    13.0000    81.0000
 2.000 0.120    10.3940     0.1192     4.0000     8.0000    14.0000   109.0000
 2.000 0.110    12.1364     0.1383     5.0000    10.0000    16.0000    91.0000
 2.000 0.100    14.0110     0.1643     6.0000    11.0000    19.0000   126.0000
 2.000 0.090    15.9012     0.1948     6.0000    12.0000    21.0000   155.0000
 2.000 0.080    19.2472     0.2482     7.0000    14.0000    25.0000   229.0000
 2.000 0.070    23.5178     0.2982     9.0000    18.0000    31.0000   199.0000
 2.000 0.060    29.0244     0.3771    11.0000    22.0000    38.0000   236.0000
 2.000 0.050    40.1872     0.5372    14.0000    29.0000    54.0000   405.0000
 2.000 0.040    58.9304     0.8033    19.0000    42.0000    81.0000   461.0000
 2.000 0.030    88.5578     1.2471    26.0000    62.0000   124.0000   731.0000
 2.000 0.020   129.2000     1.8099    38.0000    93.0000   176.0000  1009.0000
 2.000 0.010   175.1954     2.4635    52.0000   119.0000   241.0000  1408.0000
