Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     7.5042     0.0987     3.0000     5.0000    10.0000    64.0000
 2.000 0.190     7.9456     0.1027     3.0000     6.0000    11.0000    61.0000
 2.000 0.180     8.7786     0.1137     3.0000     6.0000    12.0000    74.0000
 2.000 0.170     9.4900     0.1246     3.0000     7.0000    12.0000    78.0000
 2.000 0.160    10.0292     0.1244     4.0000     7.0000    14.0000    74.0000
 2.000 0.150    11.1812     0.1447     4.0000     8.0000    15.0000    88.0000
 2.000 0.140    12.1208     0.1615     4.0000     9.0000    16.0000   137.0000
 2.000 0.130    13.7496     0.1839     5.0000    10.0000    19.0000   194.0000
 2.000 0.120    15.0082     0.1945     5.0000    11.0000    21.0000   109.0000
 2.000 0.110    16.9294     0.2130     6.0000    12.0000    23.0000   132.0000
 2.000 0.100    19.1404     0.2467     6.0000    14.0000    27.0000   153.0000
 2.000 0.090    22.2694     0.2823     8.0000    16.0000    31.0000   156.0000
 2.000 0.080    26.3194     0.3341     9.0000    20.0000    37.0000   265.0000
 2.000 0.070    31.9208     0.4002    11.0000    24.0000    45.0000   278.0000
 2.000 0.060    38.9050     0.5077    13.0000    29.0000    53.0000   261.0000
 2.000 0.050    48.5362     0.6364    16.0000    36.0000    67.0000   561.0000
 2.000 0.040    65.0874     0.8485    22.0000    49.0000    89.0000   466.0000
 2.000 0.030    90.9462     1.2189    28.0000    66.0000   125.0000   676.0000
 2.000 0.020   129.2954     1.7790    39.0000    91.0000   179.0000  1108.0000
 2.000 0.010   170.8612     2.4292    50.0000   118.0000   238.0000  1653.0000
