Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.6232     0.0565     3.0000     5.0000     7.0000    69.0000
 2.000 0.190     5.8466     0.0620     3.0000     5.0000     7.0000    68.0000
 2.000 0.180     6.3558     0.0718     3.0000     5.0000     8.0000    84.0000
 2.000 0.170     6.7330     0.0774     3.0000     5.0000     8.0000    69.0000
 2.000 0.160     7.3828     0.0936     4.0000     6.0000     9.0000   111.0000
 2.000 0.150     8.1306     0.1111     4.0000     6.0000    10.0000   132.0000
 2.000 0.140     9.1578     0.1275     4.0000     7.0000    11.0000   137.0000
 2.000 0.130    10.3450     0.1478     4.0000     7.0000    12.0000   131.0000
 2.000 0.120    12.0674     0.1773     5.0000     8.0000    15.0000   156.0000
 2.000 0.110    14.6852     0.2375     5.0000     9.0000    17.0000   203.0000
 2.000 0.100    17.3474     0.2688     6.0000    11.0000    22.0000   231.0000
 2.000 0.090    23.0752     0.3648     7.0000    14.0000    30.0000   352.0000
 2.000 0.080    29.0348     0.4619     8.0000    17.0000    39.0000   409.0000
 2.000 0.070    38.8336     0.6051     9.0000    24.0000    54.0000   516.0000
 2.000 0.060    48.7846     0.7316    12.0000    31.0000    67.0000   456.0000
 2.000 0.050    65.8024     0.9981    17.0000    44.0000    91.0000   730.0000
 2.000 0.040    84.9390     1.2477    23.0000    57.0000   116.0000   840.0000
 2.000 0.030   112.3606     1.6272    30.0000    78.0000   155.0000   835.0000
 2.000 0.020   150.5292     2.1326    43.0000   105.0000   209.0000  1206.0000
 2.000 0.010   180.4962     2.5434    52.0000   125.0000   253.0000  1495.0000
