Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.4344     0.0504     3.0000     5.0000     7.0000    31.0000
 2.000 0.190     5.6816     0.0536     3.0000     5.0000     7.0000    40.0000
 2.000 0.180     6.1052     0.0593     3.0000     5.0000     8.0000    50.0000
 2.000 0.170     6.4674     0.0633     3.0000     5.0000     8.0000    54.0000
 2.000 0.160     7.0362     0.0716     4.0000     6.0000     9.0000    86.0000
 2.000 0.150     7.6880     0.0821     4.0000     6.0000    10.0000    84.0000
 2.000 0.140     8.1716     0.0877     4.0000     7.0000    11.0000    82.0000
 2.000 0.130     9.1482     0.1020     4.0000     7.0000    12.0000   106.0000
 2.000 0.120    10.5884     0.1289     5.0000     8.0000    13.0000   118.0000
 2.000 0.110    11.7850     0.1473     5.0000     9.0000    15.0000   140.0000
 2.000 0.100    13.6516     0.1808     6.0000    10.0000    17.0000   151.0000
 2.000 0.090    16.5626     0.2257     6.0000    12.0000    21.0000   160.0000
 2.000 0.080    20.8318     0.3125     7.0000    14.0000    27.0000   360.0000
 2.000 0.070    27.9300     0.4129     9.0000    18.0000    38.0000   275.0000
 2.000 0.060    38.3350     0.5593    11.0000    26.0000    52.0000   409.0000
 2.000 0.050    52.3324     0.7649    14.0000    35.0000    72.0000   451.0000
 2.000 0.040    74.5152     1.0611    21.0000    52.0000   104.0000   716.0000
 2.000 0.030   104.6310     1.4960    30.0000    70.0000   147.0000   846.0000
 2.000 0.020   143.3582     2.0767    41.0000    99.0000   197.0000  1625.0000
 2.000 0.010   183.9122     2.6154    53.0000   125.0000   258.0000  1346.0000
