Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   179.2882     2.2064    66.0000   138.0000   247.0000  1240.0000     0.0000
 0.500 0.050   100.2990     1.1392    40.0000    82.0000   139.0000   651.0000     0.0000
 0.500 0.100    46.6826     0.5132    19.0000    38.0000    65.0000   255.0000     0.0000
 1.000 0.020   111.3646     1.3070    42.0000    88.0000   158.0000   667.0000     0.0000
 1.000 0.050    40.4402     0.4513    16.0000    33.0000    56.0000   273.0000     0.0000
 1.000 0.100    16.2192     0.1790     7.0000    13.0000    22.0000   149.0000     0.0000
 2.000 0.020    56.6454     0.6972    20.0000    44.0000    78.0000   390.0000     0.0000
 2.000 0.050    15.3184     0.1765     6.0000    12.0000    21.0000   129.0000     0.0000
 2.000 0.100     6.0506     0.0612     3.0000     5.0000     8.0000    50.0000     0.0000
