Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   161.0590     2.0220    59.0000   119.0000   224.0000  1123.0000     0.0000
 0.500 0.050    67.6476     0.7617    29.0000    54.0000    92.0000   535.0000     0.0000
 0.500 0.100    30.5718     0.3106    14.0000    26.0000    42.0000   184.0000     0.0000
 1.000 0.020    77.6540     0.8634    34.0000    63.0000   107.0000   767.0000     0.0000
 1.000 0.050    26.6690     0.2722    12.0000    22.0000    37.0000   148.0000     0.0000
 1.000 0.100    12.0188     0.1198     6.0000    10.0000    16.0000    68.0000     0.0000
 2.000 0.020    35.7616     0.4033    15.0000    28.0000    49.0000   241.0000     0.0000
 2.000 0.050    10.7172     0.1086     5.0000     9.0000    14.0000    58.0000     0.0000
 2.000 0.100     4.8266     0.0429     3.0000     4.0000     6.0000    27.0000     0.0000
