Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   190.0144     2.2985    68.0000   149.0000   265.0000  1074.0000     0.0000
 0.500 0.050   117.2898     1.3769    44.0000    92.0000   165.0000   852.0000     0.0000
 0.500 0.100    59.0754     0.6830    22.0000    48.0000    82.0000   356.0000     0.0000
 1.000 0.020   126.0046     1.4918    46.0000    98.0000   178.0000   679.0000     0.0000
 1.000 0.050    48.3406     0.5723    19.0000    38.0000    66.0000   386.0000     0.0000
 1.000 0.100    19.0566     0.2135     8.0000    15.0000    26.0000   135.0000     0.0000
 2.000 0.020    67.5864     0.8619    23.0000    50.0000    94.0000   551.0000     0.0000
 2.000 0.050    18.4696     0.2270     7.0000    14.0000    25.0000   135.0000     0.0000
 2.000 0.100     6.9586     0.0738     3.0000     6.0000     9.0000    53.0000     0.0000
