Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   174.8294     2.1474    64.0000   134.0000   242.0000  1289.0000     0.0000
 0.500 0.050    94.3118     1.0949    37.0000    75.0000   130.0000   636.0000     0.0000
 0.500 0.100    44.4154     0.4880    19.0000    36.0000    63.0000   263.0000     0.0000
 1.000 0.020   106.7300     1.2732    40.0000    84.0000   151.0000   711.0000     0.0000
 1.000 0.050    37.9840     0.4253    16.0000    30.0000    52.0000   266.0000     0.0000
 1.000 0.100    15.4132     0.1646     7.0000    12.0000    21.0000    85.0000     0.0000
 2.000 0.020    53.2544     0.6574    19.0000    41.0000    74.0000   429.0000     0.0000
 2.000 0.050    14.3566     0.1640     6.0000    11.0000    19.0000   112.0000     0.0000
 2.000 0.100     5.8710     0.0581     3.0000     5.0000     8.0000    42.0000     0.0000
