Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   189.5732     2.2852    70.0000   147.0000   267.0000  1566.0000     0.0000
 0.500 0.050   146.1404     1.7006    56.0000   116.0000   203.0000   969.0000     0.0000
 0.500 0.100    81.3088     0.9606    30.0000    64.0000   113.0000   502.0000     0.0000
 1.000 0.020   145.9686     1.7654    55.0000   114.0000   202.0000  1029.0000     0.0000
 1.000 0.050    64.5602     0.7619    24.0000    50.0000    91.0000   401.0000     0.0000
 1.000 0.100    25.4146     0.2970    10.0000    20.0000    34.0000   222.0000     0.0000
 2.000 0.020    90.4284     1.1347    29.0000    69.0000   130.0000   666.0000     0.0000
 2.000 0.050    24.8540     0.3040     9.0000    19.0000    34.0000   178.0000     0.0000
 2.000 0.100     8.9492     0.1000     4.0000     7.0000    12.0000    71.0000     0.0000
