Shift TestRadius  ARL  Std  Q1  Med  Q3  Max  Min
 0.500 0.020   200.7780     2.2087    82.0000   166.0000   284.0000  1176.0000     0.0000
 0.500 0.050   185.8572     2.0278    76.0000   155.0000   260.0000  1212.0000     0.0000
 0.500 0.100   149.2142     1.6117    60.0000   126.0000   215.0000   810.0000     0.0000
 1.000 0.020   184.9462     2.0258    75.0000   154.0000   264.0000  1250.0000     0.0000
 1.000 0.050   130.5410     1.4405    53.0000   109.0000   186.0000   714.0000     0.0000
 1.000 0.100    68.1784     0.8062    26.0000    53.0000    95.0000   408.0000     0.0000
 2.000 0.020   150.2672     1.7148    55.0000   122.0000   216.0000   810.0000     0.0000
 2.000 0.050    61.2738     0.7641    21.0000    46.0000    85.0000   429.0000     0.0000
 2.000 0.100    21.7660     0.2770     8.0000    16.0000    29.0000   199.0000     0.0000
