Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     3.9918     0.0285     3.0000     4.0000     5.0000    28.0000     0.0000
 2.000 0.180     4.4394     0.0344     3.0000     4.0000     5.0000    36.0000     0.0000
 2.000 0.160     4.9830     0.0500     3.0000     4.0000     6.0000   105.0000     0.0000
 2.000 0.140     5.7514     0.0636     3.0000     5.0000     7.0000    91.0000     0.0000
 2.000 0.120     7.1254     0.0974     4.0000     6.0000     8.0000   109.0000     0.0000
 2.000 0.100    10.0196     0.1563     4.0000     7.0000    11.0000   186.0000     0.0000
 2.000 0.080    16.8708     0.2684     5.0000    10.0000    21.0000   181.0000     0.0000
 2.000 0.060    30.5826     0.4749     8.0000    19.0000    41.0000   370.0000     0.0000
 2.000 0.040    59.6584     0.8907    15.0000    39.0000    84.0000   562.0000     0.0000
 2.000 0.020   121.6882     1.7265    35.0000    83.0000   170.0000  1142.0000     0.0000
 1.800 0.200     4.5370     0.0331     3.0000     4.0000     6.0000    46.0000     0.0000
 1.800 0.180     4.9184     0.0394     3.0000     4.0000     6.0000    61.0000     0.0000
 1.800 0.160     5.5042     0.0504     3.0000     5.0000     7.0000    55.0000     0.0000
 1.800 0.140     6.4406     0.0679     4.0000     5.0000     8.0000   138.0000     0.0000
 1.800 0.120     7.7202     0.0907     4.0000     6.0000     9.0000   112.0000     0.0000
 1.800 0.100    11.1088     0.1718     5.0000     8.0000    13.0000   183.0000     0.0000
 1.800 0.080    17.5970     0.2768     6.0000    11.0000    22.0000   268.0000     0.0000
 1.800 0.060    33.1444     0.5215     9.0000    20.0000    45.0000   367.0000     0.0000
 1.800 0.040    61.4280     0.9043    16.0000    41.0000    86.0000   539.0000     0.0000
 1.800 0.020   122.3016     1.7480    34.0000    83.0000   170.0000  1165.0000     0.0000
 1.600 0.200     5.3094     0.0386     3.0000     5.0000     7.0000    41.0000     0.0000
 1.600 0.180     5.7016     0.0457     4.0000     5.0000     7.0000    42.0000     0.0000
 1.600 0.160     6.3352     0.0566     4.0000     6.0000     8.0000    57.0000     0.0000
 1.600 0.140     7.5796     0.0822     4.0000     6.0000     9.0000   107.0000     0.0000
 1.600 0.120     9.0584     0.1046     5.0000     7.0000    11.0000    86.0000     0.0000
 1.600 0.100    12.1910     0.1557     6.0000     9.0000    15.0000   128.0000     0.0000
 1.600 0.080    20.0918     0.2955     7.0000    13.0000    26.0000   222.0000     0.0000
 1.600 0.060    35.2388     0.5292    10.0000    23.0000    48.0000   456.0000     0.0000
 1.600 0.040    63.5660     0.9211    17.0000    43.0000    88.0000   590.0000     0.0000
 1.600 0.020   125.6828     1.7596    35.0000    88.0000   176.0000  1175.0000     0.0000
 1.400 0.200     6.1674     0.0476     4.0000     6.0000     8.0000    42.0000     0.0000
 1.400 0.180     6.8684     0.0552     4.0000     6.0000     9.0000    42.0000     0.0000
 1.400 0.160     7.4616     0.0650     4.0000     6.0000     9.0000    61.0000     0.0000
 1.400 0.140     8.8368     0.0866     5.0000     8.0000    11.0000   110.0000     0.0000
 1.400 0.120    10.7256     0.1210     6.0000     9.0000    13.0000    95.0000     0.0000
 1.400 0.100    14.3498     0.1905     6.0000    11.0000    17.0000   185.0000     0.0000
 1.400 0.080    21.9586     0.3083     8.0000    15.0000    28.0000   261.0000     0.0000
 1.400 0.060    38.1314     0.5597    11.0000    24.0000    52.0000   399.0000     0.0000
 1.400 0.040    70.5390     1.0009    20.0000    48.0000    98.0000   697.0000     0.0000
 1.400 0.020   130.3126     1.8826    37.0000    89.0000   178.0000  1385.0000     0.0000
 1.200 0.200     7.6546     0.0616     5.0000     7.0000    10.0000    66.0000     0.0000
 1.200 0.180     8.5010     0.0723     5.0000     8.0000    11.0000    57.0000     0.0000
 1.200 0.160     9.4196     0.0818     5.0000     8.0000    12.0000    53.0000     0.0000
 1.200 0.140    11.1560     0.1094     6.0000     9.0000    14.0000    83.0000     0.0000
 1.200 0.120    13.2108     0.1442     7.0000    11.0000    17.0000   148.0000     0.0000
 1.200 0.100    17.3598     0.2230     8.0000    13.0000    21.0000   209.0000     0.0000
 1.200 0.080    25.4558     0.3439    10.0000    18.0000    33.0000   252.0000     0.0000
 1.200 0.060    43.0792     0.6184    13.0000    28.0000    58.0000   420.0000     0.0000
 1.200 0.040    75.9242     1.0689    22.0000    52.0000   105.0000   638.0000     0.0000
 1.200 0.020   140.5832     1.9828    40.0000    97.0000   198.0000  1320.0000     0.0000
 1.000 0.200    10.0152     0.0807     6.0000     9.0000    13.0000    50.0000     0.0000
 1.000 0.180    11.1124     0.0967     6.0000    10.0000    14.0000    72.0000     0.0000
 1.000 0.160    12.5780     0.1172     7.0000    11.0000    16.0000    91.0000     0.0000
 1.000 0.140    14.4184     0.1446     8.0000    12.0000    19.0000   166.0000     0.0000
 1.000 0.120    16.8736     0.1820     9.0000    14.0000    21.0000   172.0000     0.0000
 1.000 0.100    21.9696     0.2519    10.0000    17.0000    28.0000   179.0000     0.0000
 1.000 0.080    31.4814     0.4016    13.0000    23.0000    42.0000   310.0000     0.0000
 1.000 0.060    50.0892     0.6989    17.0000    34.0000    68.0000   577.0000     0.0000
 1.000 0.040    83.9464     1.1905    26.0000    57.0000   113.0000   927.0000     0.0000
 1.000 0.020   145.9568     2.0621    43.0000   101.0000   202.0000  1455.0000     0.0000
 0.800 0.200    14.4608     0.1299     8.0000    13.0000    19.0000    89.0000     0.0000
 0.800 0.180    15.9688     0.1438     9.0000    14.0000    21.0000   151.0000     0.0000
 0.800 0.160    18.1608     0.1781    10.0000    15.0000    23.0000   153.0000     0.0000
 0.800 0.140    20.8620     0.2148    10.0000    17.0000    27.0000   133.0000     0.0000
 0.800 0.120    24.3452     0.2690    12.0000    20.0000    31.0000   204.0000     0.0000
 0.800 0.100    31.1348     0.3496    14.0000    25.0000    41.0000   257.0000     0.0000
 0.800 0.080    42.1598     0.5210    17.0000    31.0000    57.0000   276.0000     0.0000
 0.800 0.060    63.6764     0.8503    22.0000    46.0000    85.0000   574.0000     0.0000
 0.800 0.040   101.8080     1.3844    32.0000    70.0000   140.0000   765.0000     0.0000
 0.800 0.020   156.3762     2.1567    47.0000   112.0000   220.0000  2000.0000     0.0000
 0.600 0.200    24.8808     0.2579    12.0000    21.0000    33.0000   193.0000     0.0000
 0.600 0.180    27.2920     0.3010    13.0000    22.0000    36.0000   330.0000     0.0000
 0.600 0.160    31.9436     0.3561    15.0000    25.0000    42.0000   270.0000     0.0000
 0.600 0.140    35.7592     0.4033    16.0000    28.0000    47.0000   207.0000     0.0000
 0.600 0.120    42.8026     0.5110    18.0000    33.0000    56.0000   489.0000     0.0000
 0.600 0.100    52.4730     0.6322    21.0000    39.0000    71.0000   346.0000     0.0000
 0.600 0.080    66.5262     0.8391    25.0000    50.0000    91.0000   592.0000     0.0000
 0.600 0.060    92.6194     1.2392    31.0000    67.0000   126.0000   899.0000     0.0000
 0.600 0.040   130.7578     1.7483    41.0000    93.0000   183.0000  1014.0000     0.0000
 0.600 0.020   174.3536     2.5100    50.0000   119.0000   241.0000  1469.0000     0.0000
 0.400 0.200    57.6584     0.6980    23.0000    44.0000    78.0000   405.0000     0.0000
 0.400 0.180    64.5890     0.8206    24.0000    48.0000    87.0000   462.0000     0.0000
 0.400 0.160    72.9568     0.9824    26.0000    54.0000    95.0000  1110.0000     0.0000
 0.400 0.140    83.3282     1.0695    30.0000    62.0000   115.0000   895.0000     0.0000
 0.400 0.120    93.9404     1.2227    32.0000    69.0000   128.0000   949.0000     0.0000
 0.400 0.100   109.1232     1.4839    35.0000    77.0000   150.0000  1013.0000     0.0000
