Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     3.8834     0.0318     2.0000     3.0000     5.0000    21.0000     0.0000
 2.000 0.180     4.2600     0.0358     3.0000     4.0000     5.0000    24.0000     0.0000
 2.000 0.160     4.8322     0.0425     3.0000     4.0000     6.0000    31.0000     0.0000
 2.000 0.140     5.5590     0.0531     3.0000     5.0000     7.0000    62.0000     0.0000
 2.000 0.120     6.4760     0.0632     3.0000     5.0000     8.0000    49.0000     0.0000
 2.000 0.100     8.1292     0.0805     4.0000     7.0000    11.0000    58.0000     0.0000
 2.000 0.080    10.8864     0.1192     5.0000     9.0000    14.0000    91.0000     0.0000
 2.000 0.060    16.5932     0.2014     7.0000    13.0000    22.0000   166.0000     0.0000
 2.000 0.040    35.6892     0.4807    12.0000    25.0000    49.0000   299.0000     0.0000
 2.000 0.020   100.6080     1.4353    28.0000    69.0000   139.0000  1062.0000     0.0000
 1.800 0.200     4.3272     0.0369     3.0000     4.0000     5.0000    24.0000     0.0000
 1.800 0.180     4.7722     0.0407     3.0000     4.0000     6.0000    27.0000     0.0000
 1.800 0.160     5.3940     0.0485     3.0000     5.0000     7.0000    38.0000     0.0000
 1.800 0.140     6.1740     0.0574     3.0000     5.0000     8.0000    42.0000     0.0000
 1.800 0.120     7.3496     0.0689     4.0000     6.0000    10.0000    53.0000     0.0000
 1.800 0.100     9.1410     0.0936     4.0000     8.0000    12.0000    58.0000     0.0000
 1.800 0.080    12.3044     0.1433     5.0000    10.0000    16.0000   138.0000     0.0000
 1.800 0.060    18.5222     0.2254     8.0000    14.0000    24.0000   174.0000     0.0000
 1.800 0.040    39.5666     0.5425    13.0000    28.0000    54.0000   454.0000     0.0000
 1.800 0.020   104.9334     1.4767    31.0000    72.0000   147.0000   859.0000     0.0000
 1.600 0.200     4.9330     0.0419     3.0000     4.0000     6.0000    32.0000     0.0000
 1.600 0.180     5.3888     0.0478     3.0000     5.0000     7.0000    32.0000     0.0000
 1.600 0.160     6.0860     0.0560     3.0000     5.0000     8.0000    40.0000     0.0000
 1.600 0.140     7.0712     0.0681     4.0000     6.0000     9.0000    57.0000     0.0000
 1.600 0.120     8.4948     0.0852     4.0000     7.0000    11.0000    57.0000     0.0000
 1.600 0.100    10.5616     0.1133     5.0000     8.0000    14.0000    74.0000     0.0000
 1.600 0.080    14.1498     0.1617     6.0000    11.0000    19.0000   129.0000     0.0000
 1.600 0.060    22.1618     0.2709     9.0000    17.0000    29.0000   211.0000     0.0000
 1.600 0.040    43.0930     0.5832    14.0000    31.0000    58.0000   352.0000     0.0000
 1.600 0.020   110.0764     1.5764    32.0000    76.0000   154.0000  1117.0000     0.0000
 1.400 0.200     5.8122     0.0517     3.0000     5.0000     7.0000    49.0000     0.0000
 1.400 0.180     6.3872     0.0587     3.0000     5.0000     8.0000    40.0000     0.0000
 1.400 0.160     7.3622     0.0698     4.0000     6.0000    10.0000    40.0000     0.0000
 1.400 0.140     8.2242     0.0802     4.0000     7.0000    11.0000    51.0000     0.0000
 1.400 0.120    10.1736     0.1053     5.0000     8.0000    13.0000    78.0000     0.0000
 1.400 0.100    12.7104     0.1357     6.0000    10.0000    17.0000   104.0000     0.0000
 1.400 0.080    17.3616     0.2036     8.0000    13.0000    23.0000   141.0000     0.0000
 1.400 0.060    25.9660     0.3235    10.0000    20.0000    35.0000   243.0000     0.0000
 1.400 0.040    50.1602     0.6767    16.0000    36.0000    68.0000   481.0000     0.0000
 1.400 0.020   115.7144     1.6000    34.0000    79.0000   160.0000   877.0000     0.0000
 1.200 0.200     6.9392     0.0632     4.0000     6.0000     9.0000    49.0000     0.0000
 1.200 0.180     7.9150     0.0759     4.0000     7.0000    10.0000    51.0000     0.0000
 1.200 0.160     8.9120     0.0873     5.0000     7.0000    12.0000    70.0000     0.0000
 1.200 0.140    10.3778     0.1022     5.0000     9.0000    14.0000    62.0000     0.0000
