Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     3.9922     0.0354     2.0000     3.0000     5.0000    28.0000     0.0000
 2.000 0.180     4.4468     0.0401     2.0000     4.0000     6.0000    27.0000     0.0000
 2.000 0.160     4.9966     0.0480     3.0000     4.0000     6.0000    28.0000     0.0000
 2.000 0.140     5.8336     0.0597     3.0000     5.0000     8.0000    77.0000     0.0000
 2.000 0.120     7.0474     0.0731     3.0000     6.0000     9.0000    44.0000     0.0000
 2.000 0.100     8.6514     0.0944     4.0000     7.0000    11.0000    77.0000     0.0000
 2.000 0.080    12.0026     0.1388     5.0000    10.0000    16.0000   105.0000     0.0000
 2.000 0.060    19.1766     0.2441     7.0000    14.0000    26.0000   168.0000     0.0000
 2.000 0.040    41.9870     0.5901    13.0000    29.0000    57.0000   377.0000     0.0000
 2.000 0.020   108.4260     1.5748    30.0000    72.0000   151.0000  1001.0000     0.0000
 1.800 0.200     4.4402     0.0397     2.0000     4.0000     6.0000    23.0000     0.0000
 1.800 0.180     4.8538     0.0454     3.0000     4.0000     6.0000    31.0000     0.0000
 1.800 0.160     5.6344     0.0551     3.0000     5.0000     7.0000    49.0000     0.0000
 1.800 0.140     6.5282     0.0666     3.0000     5.0000     8.0000    46.0000     0.0000
 1.800 0.120     7.9050     0.0835     4.0000     6.0000    10.0000    70.0000     0.0000
 1.800 0.100     9.9254     0.1079     4.0000     8.0000    13.0000    80.0000     0.0000
 1.800 0.080    13.6918     0.1772     6.0000    10.0000    18.0000   242.0000     0.0000
 1.800 0.060    21.0342     0.2678     8.0000    16.0000    27.0000   240.0000     0.0000
 1.800 0.040    45.1422     0.6198    14.0000    32.0000    62.0000   358.0000     0.0000
 1.800 0.020   110.8560     1.5600    33.0000    77.0000   156.0000  1158.0000     0.0000
 1.600 0.200     5.0078     0.0471     3.0000     4.0000     6.0000    31.0000     0.0000
 1.600 0.180     5.5282     0.0529     3.0000     5.0000     7.0000    38.0000     0.0000
 1.600 0.160     6.3158     0.0636     3.0000     5.0000     8.0000    45.0000     0.0000
 1.600 0.140     7.3420     0.0776     4.0000     6.0000     9.0000    62.0000     0.0000
 1.600 0.120     8.8308     0.0947     4.0000     7.0000    12.0000    86.0000     0.0000
 1.600 0.100    11.3642     0.1302     5.0000     9.0000    15.0000   127.0000     0.0000
 1.600 0.080    15.5224     0.1842     6.0000    12.0000    20.0000   133.0000     0.0000
 1.600 0.060    24.0394     0.3160     9.0000    17.0000    32.0000   180.0000     0.0000
 1.600 0.040    49.0346     0.6993    14.0000    33.0000    68.0000   577.0000     0.0000
 1.600 0.020   117.4728     1.6289    34.0000    83.0000   165.0000   840.0000     0.0000
 1.400 0.200     5.7216     0.0554     3.0000     5.0000     7.0000    38.0000     0.0000
 1.400 0.180     6.4622     0.0637     3.0000     5.0000     8.0000    55.0000     0.0000
 1.400 0.160     7.3652     0.0748     4.0000     6.0000    10.0000    53.0000     0.0000
 1.400 0.140     8.3930     0.0877     4.0000     7.0000    11.0000    55.0000     0.0000
 1.400 0.120    10.4772     0.1158     5.0000     8.0000    14.0000   118.0000     0.0000
 1.400 0.100    13.7014     0.1619     6.0000    11.0000    18.0000   158.0000     0.0000
 1.400 0.080    18.1152     0.2306     7.0000    14.0000    24.0000   176.0000     0.0000
 1.400 0.060    28.6134     0.3756    10.0000    21.0000    38.0000   252.0000     0.0000
 1.400 0.040    55.0760     0.7756    17.0000    38.0000    74.0000   498.0000     0.0000
 1.400 0.020   123.0428     1.7481    36.0000    85.0000   170.0000  1017.0000     0.0000
 1.200 0.200     6.8070     0.0660     4.0000     6.0000     9.0000    57.0000     0.0000
 1.200 0.180     7.8926     0.0831     4.0000     6.0000    10.0000    58.0000     0.0000
 1.200 0.160     8.8898     0.0950     4.0000     7.0000    11.0000    98.0000     0.0000
 1.200 0.140    10.3780     0.1155     5.0000     8.0000    13.0000   101.0000     0.0000
 1.200 0.120    12.7890     0.1503     6.0000    10.0000    17.0000   130.0000     0.0000
 1.200 0.100    16.6428     0.2018     7.0000    13.0000    22.0000   230.0000     0.0000
 1.200 0.080    22.6916     0.2879     9.0000    17.0000    30.0000   239.0000     0.0000
 1.200 0.060    35.5162     0.4851    12.0000    25.0000    47.0000   343.0000     0.0000
 1.200 0.040    65.1154     0.8915    20.0000    46.0000    89.0000   578.0000     0.0000
 1.200 0.020   132.0232     1.8448    38.0000    92.0000   184.0000  1673.0000     0.0000
 1.000 0.200     8.7374     0.0903     4.0000     7.0000    11.0000    66.0000     0.0000
 1.000 0.180     9.8890     0.1052     5.0000     8.0000    13.0000    85.0000     0.0000
 1.000 0.160    11.4260     0.1282     5.0000     9.0000    15.0000   109.0000     0.0000
 1.000 0.140    13.7116     0.1614     6.0000    10.0000    18.0000   102.0000     0.0000
 1.000 0.120    16.3830     0.1881     7.0000    13.0000    22.0000   120.0000     0.0000
 1.000 0.100    21.3582     0.2732     9.0000    15.0000    28.0000   280.0000     0.0000
 1.000 0.080    28.6948     0.3750    11.0000    21.0000    38.0000   227.0000     0.0000
 1.000 0.060    43.8146     0.6020    15.0000    31.0000    59.0000   522.0000     0.0000
 1.000 0.040    77.6472     1.0322    25.0000    56.0000   106.0000   699.0000     0.0000
 1.000 0.020   144.1940     2.0162    42.0000   100.0000   200.0000  1151.0000     0.0000
 0.800 0.200    11.7402     0.1221     6.0000    10.0000    16.0000    82.0000     0.0000
 0.800 0.180    13.2452     0.1411     6.0000    11.0000    17.0000   111.0000     0.0000
 0.800 0.160    15.4888     0.1770     7.0000    12.0000    20.0000   213.0000     0.0000
 0.800 0.140    18.9218     0.2218     8.0000    15.0000    25.0000   155.0000     0.0000
 0.800 0.120    22.8866     0.2842     9.0000    17.0000    30.0000   251.0000     0.0000
 0.800 0.100    29.8598     0.3851    11.0000    22.0000    40.0000   313.0000     0.0000
 0.800 0.080    40.3340     0.5194    15.0000    29.0000    55.0000   299.0000     0.0000
 0.800 0.060    57.8100     0.7894    20.0000    41.0000    78.0000   615.0000     0.0000
 0.800 0.040    95.3120     1.3222    29.0000    68.0000   134.0000  1029.0000     0.0000
 0.800 0.020   159.7248     2.2704    46.0000   111.0000   224.0000  1279.0000     0.0000
 0.600 0.200    18.7014     0.2177     9.0000    15.0000    25.0000   201.0000     0.0000
 0.600 0.180    20.7100     0.2470     9.0000    16.0000    27.0000   225.0000     0.0000
 0.600 0.160    24.8070     0.2956    11.0000    19.0000    32.0000   210.0000     0.0000
 0.600 0.140    29.2944     0.3669    12.0000    22.0000    39.0000   377.0000     0.0000
 0.600 0.120    35.9576     0.4574    14.0000    27.0000    47.0000   363.0000     0.0000
 0.600 0.100    44.7588     0.5692    17.0000    33.0000    61.0000   440.0000     0.0000
 0.600 0.080    59.7198     0.7992    20.0000    42.0000    84.0000   527.0000     0.0000
 0.600 0.060    83.0970     1.1424    27.0000    58.0000   113.0000   673.0000     0.0000
 0.600 0.040   120.4480     1.7046    36.0000    84.0000   164.0000  1279.0000     0.0000
 0.600 0.020   173.0422     2.4751    51.0000   118.0000   240.0000  1709.0000     0.0000
 0.400 0.200    37.5548     0.4423    16.0000    30.0000    50.0000   302.0000     0.0000
 0.400 0.180    41.4570     0.5248    16.0000    31.0000    55.0000   300.0000     0.0000
 0.400 0.160    48.6010     0.6114    19.0000    37.0000    65.0000   418.0000     0.0000
 0.400 0.140    57.3650     0.7401    21.0000    42.0000    77.0000   511.0000     0.0000
 0.400 0.120    67.3858     0.9038    24.0000    49.0000    90.0000   652.0000     0.0000
 0.400 0.100    81.6538     1.0951    27.0000    58.0000   112.0000   762.0000     0.0000
 0.400 0.080   105.3974     1.4329    35.0000    76.0000   143.0000   848.0000     0.0000
 0.400 0.060   128.1962     1.7745    38.0000    90.0000   179.0000  1404.0000     0.0000
 0.400 0.040   161.6054     2.2684    47.0000   112.0000   226.0000  1811.0000     0.0000
 0.400 0.020   186.6182     2.6615    53.0000   129.0000   256.0000  1932.0000     0.0000
 0.200 0.200   122.3364     1.6635    40.0000    87.0000   169.0000  1064.0000     0.0000
 0.200 0.180   133.9752     1.8240    41.0000    95.0000   184.0000  1086.0000     0.0000
 0.200 0.160   142.0530     2.0153    43.0000    99.0000   191.0000  1649.0000     0.0000
 0.200 0.140   153.1632     2.1324    45.0000   108.0000   212.0000  1188.0000     0.0000
 0.200 0.120   161.4600     2.2122    49.0000   113.0000   227.0000  1496.0000     0.0000
 0.200 0.100   170.5784     2.3442    50.0000   120.0000   239.0000  1457.0000     0.0000
 0.200 0.080   175.9716     2.4695    51.0000   120.0000   246.0000  1565.0000     0.0000
 0.200 0.060   190.7158     2.6930    55.0000   132.0000   266.0000  1693.0000     0.0000
 0.200 0.040   194.7924     2.7434    58.0000   136.0000   269.0000  2000.0000     0.0000
 0.200 0.020   195.0336     2.7410    54.0000   137.0000   273.0000  1811.0000     0.0000
