Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.2112     0.0289     3.0000     4.0000     5.0000    25.0000     0.0000
 2.000 0.180     4.6384     0.0342     3.0000     4.0000     6.0000    30.0000     0.0000
 2.000 0.160     5.1426     0.0391     3.0000     5.0000     6.0000    25.0000     0.0000
 2.000 0.140     5.7490     0.0475     3.0000     5.0000     7.0000    51.0000     0.0000
 2.000 0.120     6.8712     0.0652     4.0000     6.0000     9.0000    67.0000     0.0000
 2.000 0.100     8.5060     0.0925     5.0000     7.0000    10.0000   107.0000     0.0000
 2.000 0.080    12.1388     0.1514     5.0000     9.0000    15.0000   119.0000     0.0000
 2.000 0.060    21.0898     0.3060     7.0000    14.0000    27.0000   276.0000     0.0000
 2.000 0.040    44.3516     0.6428    13.0000    30.0000    61.0000   431.0000     0.0000
 2.000 0.020   101.0842     1.4303    29.0000    71.0000   137.0000   796.0000     0.0000
 1.800 0.200     5.0212     0.0349     3.0000     5.0000     6.0000    22.0000     0.0000
 1.800 0.180     5.4784     0.0401     4.0000     5.0000     7.0000    27.0000     0.0000
 1.800 0.160     5.9992     0.0450     4.0000     6.0000     8.0000    42.0000     0.0000
 1.800 0.140     6.9094     0.0577     4.0000     6.0000     9.0000    53.0000     0.0000
 1.800 0.120     7.9288     0.0744     5.0000     7.0000    10.0000    71.0000     0.0000
 1.800 0.100     9.7916     0.1023     5.0000     8.0000    12.0000   116.0000     0.0000
 1.800 0.080    13.8100     0.1723     6.0000    10.0000    17.0000   206.0000     0.0000
 1.800 0.060    23.8090     0.3254     9.0000    16.0000    31.0000   353.0000     0.0000
 1.800 0.040    47.0220     0.6662    14.0000    32.0000    63.0000   438.0000     0.0000
 1.800 0.020   104.5524     1.4346    31.0000    74.0000   145.0000   702.0000     0.0000
 1.600 0.200     5.9698     0.0429     4.0000     5.0000     8.0000    23.0000     0.0000
 1.600 0.180     6.5898     0.0499     4.0000     6.0000     8.0000    51.0000     0.0000
 1.600 0.160     7.3168     0.0570     4.0000     7.0000     9.0000    35.0000     0.0000
 1.600 0.140     8.1546     0.0679     5.0000     7.0000    10.0000    74.0000     0.0000
 1.600 0.120     9.6330     0.0881     6.0000     8.0000    12.0000    86.0000     0.0000
 1.600 0.100    11.6414     0.1247     6.0000    10.0000    15.0000   143.0000     0.0000
