Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 0.600 0.180    22.6606     0.2896     9.0000    16.0000    30.0000   214.0000     0.0000
 0.600 0.160    26.1722     0.3402    10.0000    19.0000    34.0000   290.0000     0.0000
 0.600 0.140    31.9894     0.4235    11.0000    23.0000    42.0000   252.0000     0.0000
 0.600 0.120    38.5810     0.5211    13.0000    27.0000    52.0000   298.0000     0.0000
 0.600 0.100    48.9498     0.6714    16.0000    35.0000    67.0000   529.0000     0.0000
 0.600 0.080    64.8356     0.8981    21.0000    45.0000    89.0000   773.0000     0.0000
 0.600 0.060    88.0940     1.2177    26.0000    61.0000   122.0000   664.0000     0.0000
 0.600 0.040   124.3914     1.7448    36.0000    86.0000   173.0000  1116.0000     0.0000
 0.600 0.020   171.6110     2.4483    49.0000   118.0000   234.0000  1744.0000     0.0000
 0.400 0.200    34.1130     0.4355    13.0000    25.0000    45.0000   373.0000     0.0000
 0.400 0.180    38.7664     0.5032    15.0000    28.0000    51.0000   501.0000     0.0000
 0.400 0.160    44.5880     0.5820    16.0000    33.0000    59.0000   403.0000     0.0000
 0.400 0.140    52.1158     0.6840    19.0000    38.0000    71.0000   500.0000     0.0000
 0.400 0.120    63.9274     0.8585    22.0000    45.0000    86.0000   494.0000     0.0000
 0.400 0.100    77.0560     1.0613    26.0000    54.0000   103.0000   737.0000     0.0000
 0.400 0.080    95.8918     1.2790    31.0000    69.0000   133.0000   704.0000     0.0000
 0.400 0.060   120.8578     1.7360    36.0000    83.0000   163.0000  1239.0000     0.0000
 0.400 0.040   152.5362     2.1737    45.0000   105.0000   213.0000  1442.0000     0.0000
 0.400 0.020   182.8654     2.5731    53.0000   129.0000   253.0000  1435.0000     0.0000
 0.200 0.200   102.5368     1.3715    34.0000    74.0000   141.0000   901.0000     0.0000
 0.200 0.180   109.2208     1.4982    35.0000    77.0000   148.0000   870.0000     0.0000
 0.200 0.160   118.8570     1.6090    38.0000    87.0000   164.0000  1048.0000     0.0000
 0.200 0.140   128.6458     1.7729    39.0000    93.0000   175.0000  1190.0000     0.0000
 0.200 0.120   144.2044     2.0068    45.0000   101.0000   200.0000  1221.0000     0.0000
 0.200 0.100   154.0296     2.1441    46.0000   107.0000   211.0000  1277.0000     0.0000
 0.200 0.080   169.2252     2.3469    49.0000   121.0000   233.0000  1604.0000     0.0000
 0.200 0.060   178.0724     2.5206    52.0000   122.0000   248.0000  1518.0000     0.0000
 0.200 0.040   186.9382     2.6630    52.0000   131.0000   260.0000  2000.0000     0.0000
 0.200 0.020   195.5020     2.7370    55.0000   135.0000   270.0000  1338.0000     0.0000
