Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 1.200 0.010 1.500    35.7908     0.4636    14.0000    26.0000    48.0000   438.0000     0.0000
 1.200 0.010 1.400    36.8806     0.4825    14.0000    27.0000    50.0000   434.0000     0.0000
 1.200 0.010 1.300    36.7900     0.4885    13.0000    27.0000    49.0000   341.0000     0.0000
 1.200 0.010 1.200    36.8686     0.4825    13.0000    26.0000    49.0000   320.0000     0.0000
 1.200 0.010 1.100    36.2790     0.4724    13.0000    26.0000    50.0000   303.0000     0.0000
 1.200 0.010 1.000    36.6400     0.4986    13.0000    26.0000    48.0000   394.0000     0.0000
 1.200 0.010 0.900    38.3090     0.5529    13.0000    27.0000    52.0000  1067.0000     0.0000
 1.200 0.010 0.800    38.3506     0.5662    13.0000    27.0000    51.0000   897.0000     0.0000
 1.200 0.010 0.700    39.4766     0.6216    13.0000    27.0000    52.0000   765.0000     0.0000
 1.200 0.010 0.600    42.1342     0.6867    14.0000    28.0000    54.0000   919.0000     0.0000
 1.200 0.010 0.500    42.5926     0.6816    14.0000    29.0000    55.0000   774.0000     0.0000
 1.200 0.010 0.400    44.2866     0.7694    14.0000    29.0000    56.0000   814.0000     0.0000
 1.200 0.010 0.300    46.2260     0.8087    14.0000    30.0000    58.0000   902.0000     0.0000
 1.200 0.010 0.200    54.0336     1.0584    16.0000    32.0000    62.0000  1020.0000     0.0000
 1.200 0.010 0.100    61.0908     1.2301    16.0000    35.0000    71.0000  1241.0000     0.0000
 0.800 0.050 2.000    21.7954     0.2502    10.0000    17.0000    28.0000   167.0000     0.0000
 0.800 0.050 1.900    21.2528     0.2448     9.0000    17.0000    28.0000   239.0000     0.0000
 0.800 0.050 1.800    22.1538     0.2652    10.0000    17.0000    29.0000   158.0000     0.0000
 0.800 0.050 1.700    22.2402     0.2627    10.0000    17.0000    29.0000   198.0000     0.0000
 0.800 0.050 1.600    21.9292     0.2510    10.0000    18.0000    29.0000   170.0000     0.0000
 0.800 0.050 1.500    22.3318     0.2610    10.0000    17.0000    29.0000   177.0000     0.0000
 0.800 0.050 1.400    22.2496     0.2602    10.0000    17.0000    29.0000   243.0000     0.0000
 0.800 0.050 1.300    22.2452     0.2623    10.0000    18.0000    29.0000   200.0000     0.0000
 0.800 0.050 1.200    22.8974     0.2657    10.0000    18.0000    30.0000   197.0000     0.0000
 0.800 0.050 1.100    22.6722     0.2727    10.0000    17.0000    29.0000   203.0000     0.0000
 0.800 0.050 1.000    23.2738     0.2933    10.0000    18.0000    30.0000   268.0000     0.0000
 0.800 0.050 0.900    24.2402     0.3510    10.0000    18.0000    30.0000   393.0000     0.0000
 0.800 0.050 0.800    25.1362     0.3681    10.0000    18.0000    32.0000   374.0000     0.0000
 0.800 0.050 0.700    27.0320     0.4848    10.0000    18.0000    32.0000   796.0000     0.0000
 0.800 0.050 0.600    28.5764     0.5455    10.0000    19.0000    33.0000   760.0000     0.0000
 0.800 0.050 0.500    31.9876     0.6204    11.0000    20.0000    36.0000   615.0000     0.0000
 0.800 0.050 0.400    34.9990     0.7334    11.0000    21.0000    38.0000   859.0000     0.0000
 0.800 0.050 0.300    39.1332     0.9195    11.0000    21.0000    40.0000  1002.0000     0.0000
 0.800 0.050 0.200    47.3966     1.0727    12.0000    24.0000    47.0000   898.0000     0.0000
 0.800 0.050 0.100    68.7584     1.4721    15.0000    31.0000    72.0000  1095.0000     0.0000
 0.800 0.040 2.000    25.3858     0.2980    11.0000    20.0000    34.0000   223.0000     0.0000
 0.800 0.040 1.900    25.0008     0.2928    11.0000    19.0000    33.0000   197.0000     0.0000
 0.800 0.040 1.800    25.1754     0.3068    11.0000    19.0000    33.0000   323.0000     0.0000
 0.800 0.040 1.700    25.7134     0.3079    11.0000    20.0000    34.0000   275.0000     0.0000
 0.800 0.040 1.600    26.1414     0.3157    11.0000    20.0000    35.0000   208.0000     0.0000
 0.800 0.040 1.500    25.6124     0.3070    11.0000    19.0000    34.0000   211.0000     0.0000
 0.800 0.040 1.400    25.6064     0.3088    11.0000    20.0000    34.0000   228.0000     0.0000
 0.800 0.040 1.300    25.9676     0.3104    11.0000    20.0000    34.0000   203.0000     0.0000
 0.800 0.040 1.200    26.4580     0.3222    11.0000    21.0000    35.0000   388.0000     0.0000
 0.800 0.040 1.100    26.7948     0.3401    11.0000    20.0000    35.0000   298.0000     0.0000
 0.800 0.040 1.000    26.7404     0.3490    11.0000    20.0000    35.0000   321.0000     0.0000
 0.800 0.040 0.900    27.3322     0.3867    11.0000    20.0000    35.0000   405.0000     0.0000
 0.800 0.040 0.800    30.1360     0.4892    11.0000    21.0000    37.0000   648.0000     0.0000
 0.800 0.040 0.700    29.2926     0.4658    11.0000    20.0000    36.0000   397.0000     0.0000
 0.800 0.040 0.600    32.3180     0.5760    11.0000    21.0000    38.0000   747.0000     0.0000
 0.800 0.040 0.500    35.6388     0.6845    12.0000    23.0000    40.0000   763.0000     0.0000
 0.800 0.040 0.400    37.5188     0.7731    12.0000    22.0000    41.0000   822.0000     0.0000
 0.800 0.040 0.300    44.8754     1.0717    13.0000    24.0000    47.0000  1107.0000     0.0000
 0.800 0.040 0.200    51.1566     1.1471    13.0000    26.0000    53.0000  1061.0000     0.0000
 0.800 0.040 0.100    69.8228     1.4603    16.0000    33.0000    73.0000  1171.0000     0.0000
 0.800 0.030 2.000    30.8096     0.3667    13.0000    24.0000    41.0000   210.0000     0.0000
 0.800 0.030 1.900    30.8956     0.3829    12.0000    23.0000    41.0000   402.0000     0.0000
 0.800 0.030 1.800    30.8826     0.3802    12.0000    23.0000    41.0000   226.0000     0.0000
 0.800 0.030 1.700    30.5228     0.3804    12.0000    23.0000    40.0000   343.0000     0.0000
 0.800 0.030 1.600    31.0172     0.3821    12.0000    23.0000    41.0000   335.0000     0.0000
 0.800 0.030 1.500    30.8376     0.3826    12.0000    23.0000    41.0000   309.0000     0.0000
 0.800 0.030 1.400    31.3416     0.3912    13.0000    24.0000    42.0000   235.0000     0.0000
 0.800 0.030 1.300    31.4148     0.3814    13.0000    23.0000    42.0000   248.0000     0.0000
 0.800 0.030 1.200    31.9494     0.3912    13.0000    24.0000    43.0000   331.0000     0.0000
 0.800 0.030 1.100    31.4494     0.4060    13.0000    23.0000    41.0000   295.0000     0.0000
 0.800 0.030 1.000    32.1530     0.4244    13.0000    24.0000    42.0000   365.0000     0.0000
 0.800 0.030 0.900    32.6908     0.4359    13.0000    24.0000    43.0000   415.0000     0.0000
 0.800 0.030 0.800    34.5280     0.5037    13.0000    24.0000    44.0000   632.0000     0.0000
 0.800 0.030 0.700    34.6316     0.5186    13.0000    24.0000    45.0000   548.0000     0.0000
 0.800 0.030 0.600    37.7404     0.6681    13.0000    25.0000    46.0000   832.0000     0.0000
 0.800 0.030 0.500    39.9088     0.6988    14.0000    26.0000    49.0000   713.0000     0.0000
 0.800 0.030 0.400    42.1968     0.8072    14.0000    26.0000    49.0000   775.0000     0.0000
 0.800 0.030 0.300    46.7434     0.9396    14.0000    28.0000    53.0000   746.0000     0.0000
 0.800 0.030 0.200    53.6342     1.1153    15.0000    31.0000    60.0000  1241.0000     0.0000
 0.800 0.030 0.100    70.2810     1.4685    17.0000    36.0000    76.0000  1431.0000     0.0000
 0.800 0.020 2.000    40.1048     0.5162    15.0000    30.0000    53.0000   333.0000     0.0000
 0.800 0.020 1.900    40.6354     0.5234    16.0000    30.0000    54.0000   351.0000     0.0000
 0.800 0.020 1.800    40.5734     0.5278    15.0000    30.0000    55.0000   358.0000     0.0000
 0.800 0.020 1.700    40.9666     0.5238    15.0000    30.0000    55.0000   303.0000     0.0000
 0.800 0.020 1.600    40.6788     0.5106    15.0000    30.0000    55.0000   348.0000     0.0000
 0.800 0.020 1.500    40.8834     0.5193    15.0000    30.0000    55.0000   371.0000     0.0000
 0.800 0.020 1.400    40.1480     0.5287    15.0000    29.0000    54.0000   378.0000     0.0000
 0.800 0.020 1.300    40.2862     0.5183    15.0000    30.0000    53.0000   343.0000     0.0000
 0.800 0.020 1.200    41.4550     0.5288    15.0000    31.0000    56.0000   452.0000     0.0000
 0.800 0.020 1.100    42.0212     0.5541    16.0000    31.0000    56.0000   511.0000     0.0000
 0.800 0.020 1.000    41.7134     0.5828    15.0000    30.0000    55.0000   679.0000     0.0000
 0.800 0.020 0.900    42.9652     0.6208    16.0000    30.0000    57.0000   653.0000     0.0000
 0.800 0.020 0.800    44.2438     0.6400    16.0000    31.0000    58.0000   638.0000     0.0000
 0.800 0.020 0.700    44.7384     0.6452    16.0000    32.0000    58.0000   662.0000     0.0000
 0.800 0.020 0.600    47.0302     0.7618    16.0000    32.0000    61.0000   795.0000     0.0000
 0.800 0.020 0.500    48.8398     0.8296    17.0000    32.0000    60.0000   929.0000     0.0000
 0.800 0.020 0.400    52.5498     0.8879    17.0000    35.0000    65.0000   740.0000     0.0000
 0.800 0.020 0.300    54.7902     1.0039    17.0000    34.0000    66.0000   936.0000     0.0000
 0.800 0.020 0.200    61.7078     1.2207    17.0000    37.0000    72.0000  1769.0000     0.0000
 0.800 0.020 0.100    74.6860     1.4417    20.0000    42.0000    87.0000  1131.0000     0.0000
 0.800 0.010 2.000    62.9652     0.8380    21.0000    45.0000    85.0000   443.0000     0.0000
 0.800 0.010 1.900    62.7850     0.8360    22.0000    45.0000    85.0000   631.0000     0.0000
 0.800 0.010 1.800    63.1808     0.8510    21.0000    46.0000    85.0000   694.0000     0.0000
 0.800 0.010 1.700    62.5648     0.8453    22.0000    44.0000    84.0000   636.0000     0.0000
 0.800 0.010 1.600    63.9142     0.8642    22.0000    45.0000    86.0000   626.0000     0.0000
 0.800 0.010 1.500    63.9894     0.8597    22.0000    45.0000    87.0000   594.0000     0.0000
 0.800 0.010 1.400    63.5698     0.8576    21.0000    44.0000    88.0000   532.0000     0.0000
 0.800 0.010 1.300    63.9558     0.8730    22.0000    46.0000    87.0000   843.0000     0.0000
 0.800 0.010 1.200    63.7136     0.8489    22.0000    47.0000    86.0000   583.0000     0.0000
 0.800 0.010 1.100    63.4804     0.8459    22.0000    46.0000    88.0000   607.0000     0.0000
 0.800 0.010 1.000    64.9418     0.8622    22.0000    48.0000    88.0000   614.0000     0.0000
 0.800 0.010 0.900    65.2578     0.9389    21.0000    46.0000    88.0000   745.0000     0.0000
 0.800 0.010 0.800    65.7614     0.9317    22.0000    45.0000    89.0000   917.0000     0.0000
 0.800 0.010 0.700    67.6418     0.9396    23.0000    49.0000    90.0000   821.0000     0.0000
 0.800 0.010 0.600    69.2982     1.0148    23.0000    47.0000    91.0000   851.0000     0.0000
 0.800 0.010 0.500    69.6216     1.0462    22.0000    48.0000    93.0000  1155.0000     0.0000
 0.800 0.010 0.400    73.1752     1.1013    24.0000    50.0000    95.0000   794.0000     0.0000
 0.800 0.010 0.300    76.7254     1.2016    25.0000    52.0000   100.0000  1342.0000     0.0000
 0.800 0.010 0.200    81.7856     1.3572    24.0000    54.0000   106.0000  1534.0000     0.0000
 0.800 0.010 0.100    92.6856     1.4350    28.0000    62.0000   121.0000  1162.0000     0.0000
 0.400 0.050 2.000    76.8430     1.0168    26.0000    55.0000   104.0000   839.0000     0.0000
 0.400 0.050 1.900    76.4978     1.0122    26.0000    55.0000   104.0000   599.0000     0.0000
 0.400 0.050 1.800    77.8892     1.0296    27.0000    56.0000   106.0000   802.0000     0.0000
 0.400 0.050 1.700    74.1348     0.9838    26.0000    54.0000   100.0000   608.0000     0.0000
 0.400 0.050 1.600    76.8908     1.0600    26.0000    55.0000   101.0000   880.0000     0.0000
 0.400 0.050 1.500    76.2432     1.0337    26.0000    55.0000   103.0000  1022.0000     0.0000
 0.400 0.050 1.400    78.3014     1.0436    26.0000    57.0000   107.0000   950.0000     0.0000
 0.400 0.050 1.300    76.8228     1.0318    27.0000    55.0000   103.0000   763.0000     0.0000
 0.400 0.050 1.200    78.3076     1.0592    26.0000    57.0000   107.0000   943.0000     0.0000
 0.400 0.050 1.100    79.1786     1.0506    28.0000    57.0000   107.0000   668.0000     0.0000
 0.400 0.050 1.000    79.4538     1.0800    27.0000    57.0000   107.0000   905.0000     0.0000
 0.400 0.050 0.900    82.3114     1.1647    28.0000    57.0000   109.0000  1276.0000     0.0000
 0.400 0.050 0.800    80.5936     1.1220    27.0000    57.0000   108.0000  1134.0000     0.0000
 0.400 0.050 0.700    82.9184     1.1670    29.0000    59.0000   111.0000  1023.0000     0.0000
 0.400 0.050 0.600    87.0928     1.2850    28.0000    60.0000   115.0000  1275.0000     0.0000
 0.400 0.050 0.500    89.8644     1.3601    29.0000    61.0000   117.0000  1088.0000     0.0000
 0.400 0.050 0.400    95.6526     1.4787    30.0000    63.0000   124.0000  1313.0000     0.0000
 0.400 0.050 0.300   100.9136     1.6661    29.0000    65.0000   130.0000  1759.0000     0.0000
 0.400 0.050 0.200   109.3090     1.7663    32.0000    70.0000   142.0000  1465.0000     0.0000
 0.400 0.050 0.100   127.9946     1.9690    36.0000    84.0000   171.0000  1369.0000     0.0000
 0.400 0.040 2.000    84.7928     1.1307    29.0000    61.0000   115.0000   667.0000     0.0000
 0.400 0.040 1.900    83.0676     1.1170    28.0000    60.0000   113.0000   662.0000     0.0000
 0.400 0.040 1.800    84.0564     1.1038    29.0000    60.0000   115.0000   602.0000     0.0000
 0.400 0.040 1.700    85.4726     1.1275    29.0000    62.0000   116.0000   684.0000     0.0000
 0.400 0.040 1.600    84.2940     1.1449    29.0000    60.0000   114.0000   827.0000     0.0000
 0.400 0.040 1.500    86.0050     1.1682    28.0000    61.0000   117.0000   723.0000     0.0000
 0.400 0.040 1.400    86.5414     1.2122    28.0000    61.0000   117.0000   901.0000     0.0000
 0.400 0.040 1.300    85.6030     1.1309    30.0000    62.0000   117.0000   662.0000     0.0000
 0.400 0.040 1.200    88.3666     1.2434    29.0000    62.0000   119.0000  1492.0000     0.0000
 0.400 0.040 1.100    86.3470     1.1692    29.0000    62.0000   116.0000   820.0000     0.0000
 0.400 0.040 1.000    89.7050     1.2222    31.0000    64.0000   120.0000  1091.0000     0.0000
 0.400 0.040 0.900    89.2722     1.2704    30.0000    62.0000   120.0000  1260.0000     0.0000
 0.400 0.040 0.800    91.3520     1.2611    30.0000    65.0000   124.0000   852.0000     0.0000
 0.400 0.040 0.700    91.2922     1.2596    30.0000    65.0000   124.0000  1071.0000     0.0000
 0.400 0.040 0.600    97.0270     1.4361    32.0000    66.0000   127.0000  1254.0000     0.0000
 0.400 0.040 0.500    97.2934     1.3890    31.0000    67.0000   132.0000  1113.0000     0.0000
 0.400 0.040 0.400   100.1206     1.4808    32.0000    69.0000   131.0000  1391.0000     0.0000
 0.400 0.040 0.300   107.5842     1.5917    34.0000    74.0000   141.0000  1160.0000     0.0000
 0.400 0.040 0.200   113.6786     1.7440    35.0000    75.0000   148.0000  1533.0000     0.0000
 0.400 0.040 0.100   130.9522     2.0633    38.0000    86.0000   169.0000  1578.0000     0.0000
 0.400 0.030 2.000    99.2316     1.3182    33.0000    71.0000   136.0000   772.0000     0.0000
 0.400 0.030 1.900    98.2912     1.2917    33.0000    71.0000   136.0000   890.0000     0.0000
 0.400 0.030 1.800    97.5148     1.2921    32.0000    72.0000   136.0000   957.0000     0.0000
 0.400 0.030 1.700    97.5160     1.3391    31.0000    67.0000   135.0000   840.0000     0.0000
 0.400 0.030 1.600    95.5076     1.2852    32.0000    69.0000   130.0000  1129.0000     0.0000
 0.400 0.030 1.500    99.8096     1.4183    33.0000    69.0000   135.0000  1688.0000     0.0000
 0.400 0.030 1.400    98.9510     1.3566    31.0000    71.0000   135.0000   928.0000     0.0000
 0.400 0.030 1.300    98.3266     1.3365    32.0000    70.0000   134.0000   842.0000     0.0000
 0.400 0.030 1.200    99.7112     1.3797    32.0000    71.0000   135.0000   938.0000     0.0000
 0.400 0.030 1.100    98.6432     1.3365    32.0000    70.0000   135.0000   975.0000     0.0000
 0.400 0.030 1.000   101.4022     1.3862    32.0000    71.0000   140.0000   987.0000     0.0000
 0.400 0.030 0.900   101.8932     1.4362    34.0000    73.0000   137.0000  1356.0000     0.0000
 0.400 0.030 0.800   104.2372     1.4410    34.0000    73.0000   138.0000   757.0000     0.0000
 0.400 0.030 0.700   102.9680     1.4265    33.0000    72.0000   140.0000  1034.0000     0.0000
 0.400 0.030 0.600   105.9000     1.4889    34.0000    75.0000   143.0000  1226.0000     0.0000
 0.400 0.030 0.500   108.0688     1.5272    35.0000    76.0000   145.0000  1122.0000     0.0000
 0.400 0.030 0.400   112.2580     1.6434    35.0000    78.0000   151.0000  1287.0000     0.0000
 0.400 0.030 0.300   117.1052     1.6991    37.0000    81.0000   156.0000  1300.0000     0.0000
 0.400 0.030 0.200   126.2296     1.8896    37.0000    84.0000   169.0000  1539.0000     0.0000
 0.400 0.030 0.100   137.3276     2.0543    41.0000    91.0000   185.0000  1251.0000     0.0000
 0.400 0.020 2.000   114.2228     1.5736    37.0000    82.0000   156.0000  1269.0000     0.0000
 0.400 0.020 1.900   115.6578     1.5871    37.0000    82.0000   158.0000  1068.0000     0.0000
 0.400 0.020 1.800   116.1266     1.6012    37.0000    81.0000   157.0000  1099.0000     0.0000
 0.400 0.020 1.700   117.4848     1.6378    36.0000    81.0000   163.0000   871.0000     0.0000
 0.400 0.020 1.600   118.6914     1.6240    38.0000    83.0000   162.0000   970.0000     0.0000
 0.400 0.020 1.500   116.9202     1.5994    37.0000    84.0000   160.0000  1179.0000     0.0000
 0.400 0.020 1.400   116.0666     1.6153    35.0000    81.0000   161.0000  1065.0000     0.0000
 0.400 0.020 1.300   117.5818     1.5908    38.0000    83.0000   161.0000  1072.0000     0.0000
 0.400 0.020 1.200   116.1936     1.5642    37.0000    83.0000   160.0000   932.0000     0.0000
 0.400 0.020 1.100   117.0536     1.5787    37.0000    84.0000   163.0000   950.0000     0.0000
 0.400 0.020 1.000   117.0534     1.5748    37.0000    84.0000   162.0000  1190.0000     0.0000
 0.400 0.020 0.900   118.4700     1.6133    37.0000    83.0000   163.0000   828.0000     0.0000
 0.400 0.020 0.800   123.0114     1.6727    39.0000    88.0000   168.0000  1085.0000     0.0000
 0.400 0.020 0.700   118.9026     1.6846    36.0000    83.0000   163.0000  1136.0000     0.0000
 0.400 0.020 0.600   121.0202     1.6669    37.0000    85.0000   166.0000  1096.0000     0.0000
 0.400 0.020 0.500   127.6872     1.7682    40.0000    90.0000   176.0000  1663.0000     0.0000
 0.400 0.020 0.400   126.8930     1.8410    38.0000    86.0000   171.0000  1303.0000     0.0000
 0.400 0.020 0.300   132.3384     1.8863    40.0000    91.0000   181.0000  1592.0000     0.0000
 0.400 0.020 0.200   135.0178     1.9364    41.0000    92.0000   189.0000  1480.0000     0.0000
 0.400 0.020 0.100   149.1836     2.1655    45.0000   103.0000   199.0000  1608.0000     0.0000
 0.400 0.010 2.000   146.3110     2.0317    44.0000   101.0000   200.0000  1284.0000     0.0000
 0.400 0.010 1.900   146.9042     2.0771    43.0000   101.0000   204.0000  1465.0000     0.0000
 0.400 0.010 1.800   145.3784     2.0200    44.0000   103.0000   199.0000  1198.0000     0.0000
 0.400 0.010 1.700   149.8178     2.0755    45.0000   106.0000   210.0000  1188.0000     0.0000
 0.400 0.010 1.600   144.5454     2.0232    43.0000   100.0000   199.0000  1151.0000     0.0000
 0.400 0.010 1.500   145.4792     2.0204    43.0000   103.0000   203.0000  1347.0000     0.0000
 0.400 0.010 1.400   146.1546     2.0350    46.0000   103.0000   200.0000  1432.0000     0.0000
 0.400 0.010 1.300   144.1822     1.9898    43.0000   101.0000   198.0000  1253.0000     0.0000
 0.400 0.010 1.200   147.3636     2.0689    44.0000   103.0000   202.0000  1227.0000     0.0000
 0.400 0.010 1.100   148.1974     2.0521    45.0000   103.0000   204.0000  1133.0000     0.0000
 0.400 0.010 1.000   153.5230     2.1996    43.0000   105.0000   210.0000  1117.0000     0.0000
 0.400 0.010 0.900   150.6762     2.1320    45.0000   105.0000   205.0000  1341.0000     0.0000
 0.400 0.010 0.800   149.4982     2.0488    47.0000   105.0000   209.0000  1353.0000     0.0000
 0.400 0.010 0.700   151.0960     2.1246    46.0000   105.0000   205.0000  1245.0000     0.0000
 0.400 0.010 0.600   151.7192     2.0445    49.0000   107.0000   211.0000  1343.0000     0.0000
 0.400 0.010 0.500   154.8000     2.1654    47.0000   107.0000   209.0000  1357.0000     0.0000
 0.400 0.010 0.400   150.7524     2.0908    45.0000   105.0000   208.0000  1271.0000     0.0000
 0.400 0.010 0.300   153.7894     2.1202    46.0000   110.0000   214.0000  1271.0000     0.0000
 0.400 0.010 0.200   164.9692     2.3120    49.0000   116.0000   228.0000  1289.0000     0.0000
 0.400 0.010 0.100   168.3242     2.3502    50.0000   117.0000   231.0000  1481.0000     0.0000
