Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 2.000 0.020 1.500    11.0254     0.1195     5.0000     9.0000    14.0000   107.0000     0.0000
 2.000 0.020 1.400    11.1198     0.1305     5.0000     9.0000    14.0000   101.0000     0.0000
 2.000 0.020 1.300    11.0996     0.1274     5.0000     9.0000    14.0000   119.0000     0.0000
 2.000 0.020 1.200    11.5348     0.1372     5.0000     9.0000    15.0000   139.0000     0.0000
 2.000 0.020 1.100    11.5234     0.1457     5.0000     9.0000    15.0000   153.0000     0.0000
 2.000 0.020 1.000    11.5738     0.1485     5.0000     9.0000    15.0000   158.0000     0.0000
 2.000 0.020 0.900    12.5966     0.2134     5.0000     9.0000    16.0000   462.0000     0.0000
 2.000 0.020 0.800    12.9252     0.2241     5.0000     9.0000    16.0000   358.0000     0.0000
 2.000 0.020 0.700    14.2888     0.3065     5.0000    10.0000    16.0000   361.0000     0.0000
 2.000 0.020 0.600    15.0926     0.3612     5.0000    10.0000    17.0000   693.0000     0.0000
 2.000 0.020 0.500    17.0060     0.4340     5.0000    10.0000    17.0000   528.0000     0.0000
 2.000 0.020 0.400    18.9628     0.5240     5.0000    10.0000    19.0000   780.0000     0.0000
 2.000 0.020 0.300    21.9696     0.6506     6.0000    11.0000    20.0000   860.0000     0.0000
 2.000 0.020 0.200    26.2882     0.7726     6.0000    11.0000    22.0000   758.0000     0.0000
 2.000 0.020 0.100    37.6528     1.0846     7.0000    14.0000    31.0000  1216.0000     0.0000
 2.000 0.010 2.000    17.9498     0.2196     7.0000    14.0000    24.0000   213.0000     0.0000
 2.000 0.010 1.900    18.4190     0.2261     8.0000    14.0000    24.0000   153.0000     0.0000
 2.000 0.010 1.800    18.6144     0.2391     7.0000    14.0000    24.0000   262.0000     0.0000
 2.000 0.010 1.700    18.6008     0.2325     7.0000    14.0000    24.0000   189.0000     0.0000
 2.000 0.010 1.600    18.5474     0.2329     8.0000    14.0000    24.0000   239.0000     0.0000
 2.000 0.010 1.500    19.0282     0.2428     7.0000    14.0000    25.0000   167.0000     0.0000
