Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100     8.1800     0.1418     4.0000     7.0000    10.0000    94.0000
 1.900 0.100     8.6965     0.1368     5.0000     7.0000    11.0000    73.0000
 1.800 0.100     9.5535     0.1486     5.0000     8.0000    12.0000    68.0000
 1.700 0.100    10.3925     0.1630     6.0000     9.0000    13.0000   111.0000
 1.600 0.100    11.2025     0.1728     6.0000    10.0000    14.0000    93.0000
 1.500 0.100    12.4970     0.2010     7.0000    10.0000    15.0000    94.0000
 1.400 0.100    13.7560     0.2120     7.0000    12.0000    18.0000    81.0000
 1.300 0.100    15.7970     0.2429     9.0000    13.0000    21.0000    98.0000
 1.200 0.100    18.2110     0.2899     9.0000    15.0000    24.0000   166.0000
 1.100 0.100    20.4040     0.3211    10.0000    17.0000    26.0000   107.0000
 1.000 0.100    24.7525     0.3931    13.0000    21.0000    32.0000   246.0000
 0.900 0.100    30.7520     0.4871    15.0000    26.0000    40.0000   187.0000
 0.800 0.100    38.7235     0.7033    18.0000    31.0000    51.0000   361.0000
 0.700 0.100    53.6755     0.9940    23.0000    41.0000    71.0000   390.0000
 0.600 0.100    72.9240     1.4607    27.0000    55.0000    96.0000   519.0000
 0.500 0.100    99.2355     2.1136    34.0000    72.0000   134.0000   976.0000
 0.400 0.100   136.9790     3.0117    40.0000    95.0000   191.0000  1006.0000
 0.300 0.100   173.3515     3.9099    49.0000   116.0000   245.0000  1521.0000
 0.200 0.100   192.2105     4.2948    52.0000   131.0000   273.0000  1942.0000
 0.100 0.100   198.9060     4.5647    52.0000   136.0000   280.0000  1473.0000
