Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.2865     0.0454     3.0000     4.0000     5.0000    16.0000
 1.900 0.200     4.5685     0.0497     3.0000     4.0000     6.0000    20.0000
 1.800 0.200     5.0070     0.0560     3.0000     5.0000     6.0000    22.0000
 1.700 0.200     5.4005     0.0608     3.0000     5.0000     7.0000    19.0000
 1.600 0.200     5.9880     0.0666     4.0000     6.0000     8.0000    24.0000
 1.500 0.200     6.7265     0.0771     4.0000     6.0000     9.0000    28.0000
 1.400 0.200     7.2395     0.0817     5.0000     7.0000     9.0000    30.0000
 1.300 0.200     8.2760     0.0985     5.0000     8.0000    10.0000    43.0000
 1.200 0.200     9.3930     0.1108     6.0000     9.0000    12.0000    48.0000
 1.100 0.200    10.7190     0.1354     6.0000    10.0000    13.0000    44.0000
 1.000 0.200    12.9185     0.1653     8.0000    12.0000    17.0000    58.0000
 0.900 0.200    15.2455     0.2003     9.0000    14.0000    20.0000    78.0000
 0.800 0.200    19.3310     0.2712    11.0000    17.0000    25.0000   110.0000
 0.700 0.200    25.2775     0.4135    13.0000    21.0000    33.0000   160.0000
 0.600 0.200    35.2125     0.6364    16.0000    28.0000    46.0000   253.0000
 0.500 0.200    53.1205     1.0176    21.0000    41.0000    70.0000   389.0000
 0.400 0.200    83.7130     1.7737    30.0000    60.0000   112.0000   683.0000
 0.300 0.200   125.4810     2.7556    39.0000    85.0000   173.0000   780.0000
 0.200 0.200   172.8405     3.8303    50.0000   119.0000   239.0000  1292.0000
 0.100 0.200   189.1500     4.2034    56.0000   134.0000   264.0000  1727.0000
