Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.080    12.2810     0.2643     5.0000     9.0000    15.0000   157.0000
 1.900 0.080    12.1985     0.2402     6.0000     9.0000    15.0000    87.0000
 1.800 0.080    13.1280     0.2428     6.0000    10.0000    16.0000   101.0000
 1.700 0.080    14.5550     0.2896     7.0000    11.0000    18.0000   155.0000
 1.600 0.080    15.5155     0.2820     8.0000    12.0000    19.0000   183.0000
 1.500 0.080    16.6790     0.2851     8.0000    13.0000    21.0000   140.0000
 1.400 0.080    18.6680     0.3254     9.0000    15.0000    24.0000   177.0000
 1.300 0.080    20.5240     0.3337    10.0000    17.0000    27.0000   118.0000
 1.200 0.080    23.3705     0.4128    11.0000    19.0000    30.0000   251.0000
 1.100 0.080    26.3205     0.4555    13.0000    21.0000    34.0000   198.0000
 1.000 0.080    32.2180     0.5376    15.0000    27.0000    42.0000   242.0000
 0.900 0.080    39.4780     0.6779    18.0000    32.0000    53.0000   238.0000
 0.800 0.080    49.5935     0.9300    21.0000    38.0000    66.0000   390.0000
 0.700 0.080    64.9775     1.2340    26.0000    49.0000    86.0000   425.0000
 0.600 0.080    88.9965     1.7624    32.0000    68.0000   121.0000   642.0000
 0.500 0.080   124.0065     2.6286    42.0000    89.0000   173.0000  1121.0000
 0.400 0.080   158.0505     3.3626    49.0000   110.0000   222.0000   944.0000
 0.300 0.080   174.9700     3.8628    50.0000   118.0000   252.0000  1324.0000
 0.200 0.080   195.3755     4.3445    50.0000   135.0000   281.0000  1213.0000
 0.100 0.080   197.1125     4.5101    55.0000   131.0000   274.0000  1489.0000
