Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100    10.1975     0.1932     4.0000     8.0000    14.0000   102.0000
 1.900 0.100    10.5650     0.1951     4.0000     8.0000    14.0000    73.0000
 1.800 0.100    11.2865     0.2087     5.0000     9.0000    15.0000    74.0000
 1.700 0.100    11.7650     0.2185     4.0000     9.0000    16.0000    70.0000
 1.600 0.100    13.1670     0.2517     5.0000    10.0000    18.0000   102.0000
 1.500 0.100    14.3170     0.2756     6.0000    11.0000    19.0000   120.0000
 1.400 0.100    15.3625     0.2891     6.0000    12.0000    21.0000    94.0000
 1.300 0.100    16.9030     0.3408     6.0000    13.0000    23.0000   135.0000
 1.200 0.100    19.5105     0.3900     7.0000    15.0000    26.0000   148.0000
 1.100 0.100    21.7925     0.4877     8.0000    15.0000    30.0000   261.0000
 1.000 0.100    25.1050     0.5123     9.0000    19.0000    34.0000   180.0000
 0.900 0.100    28.7435     0.5970    10.0000    20.0000    39.0000   220.0000
 0.800 0.100    33.3095     0.6832    11.0000    24.0000    45.0000   258.0000
 0.700 0.100    42.0100     0.9196    15.0000    29.0000    56.0000   429.0000
 0.600 0.100    51.4035     1.1318    18.0000    36.0000    70.0000   728.0000
 0.500 0.100    67.3075     1.4170    23.0000    50.0000    94.0000   650.0000
 0.400 0.100    88.6850     1.8409    31.0000    64.0000   122.0000   651.0000
 0.300 0.100   129.0545     2.8848    38.0000    86.0000   179.0000  1281.0000
 0.200 0.100   178.8910     3.9427    54.0000   126.0000   255.0000  1376.0000
 0.100 0.100   198.7650     4.2641    61.0000   143.0000   266.0000  1305.0000
