Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.100     7.6650     0.1105     4.0000     7.0000    10.0000    41.0000
 1.900 0.100     8.3800     0.1246     4.0000     7.0000    11.0000    42.0000
 1.800 0.100     9.0005     0.1492     5.0000     8.0000    11.0000   131.0000
 1.700 0.100     9.4640     0.1448     5.0000     8.0000    12.0000    55.0000
 1.600 0.100    10.3390     0.1570     6.0000     9.0000    13.0000    62.0000
 1.500 0.100    11.4085     0.1762     6.0000    10.0000    15.0000    61.0000
 1.400 0.100    12.7685     0.2043     6.0000    11.0000    17.0000    69.0000
 1.300 0.100    14.0055     0.2270     7.0000    12.0000    18.0000    99.0000
 1.200 0.100    16.3355     0.2724     8.0000    13.0000    21.0000   104.0000
 1.100 0.100    18.5630     0.3031     9.0000    15.0000    25.0000   102.0000
 1.000 0.100    21.6260     0.3607    10.0000    18.0000    29.0000   168.0000
 0.900 0.100    26.3100     0.4538    12.0000    21.0000    35.0000   154.0000
 0.800 0.100    32.7310     0.6244    14.0000    25.0000    44.0000   285.0000
 0.700 0.100    40.4210     0.7488    17.0000    32.0000    55.0000   296.0000
 0.600 0.100    56.7645     1.1376    22.0000    42.0000    76.0000   510.0000
 0.500 0.100    79.0375     1.6766    28.0000    57.0000   104.0000   610.0000
 0.400 0.100   114.9445     2.4398    36.0000    82.0000   160.0000   848.0000
 0.300 0.100   152.9900     3.4296    42.0000   108.0000   210.0000  1358.0000
 0.200 0.100   183.1765     4.1579    50.0000   123.0000   254.0000  1634.0000
 0.100 0.100   192.6595     4.4168    55.0000   131.0000   263.0000  1906.0000
