Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.1925     0.0477     3.0000     4.0000     5.0000    24.0000
 1.900 0.200     4.5305     0.0514     3.0000     4.0000     6.0000    19.0000
 1.800 0.200     4.8740     0.0554     3.0000     5.0000     6.0000    25.0000
 1.700 0.200     5.2905     0.0614     3.0000     5.0000     7.0000    22.0000
 1.600 0.200     5.9365     0.0710     4.0000     5.0000     7.0000    45.0000
 1.500 0.200     6.5000     0.0810     4.0000     6.0000     8.0000    37.0000
 1.400 0.200     7.3815     0.0892     5.0000     7.0000     9.0000    35.0000
 1.300 0.200     8.2330     0.1013     5.0000     8.0000    11.0000    35.0000
 1.200 0.200     9.3960     0.1205     6.0000     8.0000    12.0000    60.0000
 1.100 0.200    10.9425     0.1411     6.0000    10.0000    14.0000    46.0000
 1.000 0.200    12.9140     0.1679     8.0000    12.0000    17.0000    57.0000
 0.900 0.200    15.5190     0.2163     9.0000    13.0000    20.0000    79.0000
 0.800 0.200    20.3125     0.3052    11.0000    17.0000    27.0000   102.0000
 0.700 0.200    25.8425     0.4176    12.0000    22.0000    35.0000   225.0000
 0.600 0.200    36.4345     0.6690    17.0000    30.0000    47.0000   416.0000
 0.500 0.200    52.7975     1.0522    20.0000    41.0000    70.0000   610.0000
 0.400 0.200    87.6655     1.8247    31.0000    65.0000   116.0000   611.0000
 0.300 0.200   124.8170     2.7839    38.0000    85.0000   171.0000   968.0000
 0.200 0.200   153.3950     3.5266    44.0000   105.0000   201.0000  1266.0000
 0.100 0.200   186.7820     4.3269    48.0000   126.0000   271.0000  1517.0000
