Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050    21.5030     0.4621     8.0000    15.0000    28.0000   241.0000
 1.900 0.050    23.5675     0.4755    10.0000    18.0000    30.0000   176.0000
 1.800 0.050    24.2435     0.4700    10.0000    18.0000    32.0000   175.0000
 1.700 0.050    25.7335     0.5164    10.0000    19.0000    34.0000   186.0000
 1.600 0.050    28.8605     0.5824    11.0000    21.0000    38.0000   262.0000
 1.500 0.050    30.3760     0.6424    11.0000    22.0000    39.0000   241.0000
 1.400 0.050    33.3710     0.6913    13.0000    25.0000    44.0000   408.0000
 1.300 0.050    36.6080     0.7411    14.0000    26.0000    50.0000   312.0000
 1.200 0.050    41.7970     0.8407    16.0000    31.0000    56.0000   288.0000
 1.100 0.050    47.0505     0.9221    17.0000    36.0000    65.0000   306.0000
 1.000 0.050    56.3150     1.1749    20.0000    41.0000    75.0000   391.0000
 0.900 0.050    64.2920     1.3429    22.0000    47.0000    85.0000   480.0000
 0.800 0.050    75.0290     1.5176    26.0000    55.0000   104.0000   423.0000
 0.700 0.050    89.9275     1.8386    30.0000    66.0000   125.0000   704.0000
 0.600 0.050   113.9525     2.4304    37.0000    81.0000   153.0000   942.0000
 0.500 0.050   137.3905     3.0234    40.0000   101.0000   190.0000  1075.0000
 0.400 0.050   163.6220     3.6952    49.0000   114.0000   219.0000  1084.0000
 0.300 0.050   186.2155     4.0664    56.0000   131.0000   255.0000  1414.0000
 0.200 0.050   191.9980     4.3946    52.0000   127.0000   270.0000  1333.0000
 0.100 0.050   196.4375     4.4007    58.0000   134.0000   273.0000  1567.0000
